type,mode,chemical,dose,duration,col0,col1,smi_id,color,action_type
dot,M,METHOTREXATE,27.0mg/kg,1.0d,2.8652096,4.0191183,270965669,pink,INHIBITOR
dot,M,BETAMETHASONE,79.0mg/kg,1.0d,0.60616505,2.07436,270949613,orange,AGONIST
dot,M,PROCARBAZINE,27.0mg/kg,0.25d,1.0542434,0.08770092,271055878,pink,INHIBITOR
dot,M,ETOPOSIDE,100.0mg/kg,1.0d,6.9600787,2.5688174,271908537,pink,INHIBITOR
dot,M,CYCLOSPORIN A,70.0mg/kg,0.25d,1.4485127,6.044733,271150858,gray,MODULATOR
dot,M,CLOPIDOGREL,400.0mg/kg,3.0d,-0.012322384,4.2769775,271146295,green,ANTAGONIST
dot,M,LOMUSTINE,4.2mg/kg,3.0d,4.223411,6.115054,271908624,pink,INHIBITOR
dot,M,FAMCICLOVIR,1200.0mg/kg,5.0d,1.7449428,1.0592996,271908540,pink,INHIBITOR
dot,M,DIETHYLSTILBESTROL,2.8mg/kg,0.25d,1.282386,6.093444,270955309,orange,AGONIST
dot,M,ETHYLENE GLYCOL,352.0mg/kg,0.25d,0.92106587,-0.37624204,271077373,black,NULL
dot,M,PENTAMIDINE,18.0mg/kg,1.0d,4.6952863,0.52405816,270990473,pink,INHIBITOR
dot,M,PENTAMIDINE,18.0mg/kg,1.0d,4.6952863,0.52405816,270990473,pink,INHIBITOR
dot,M,AZATHIOPRINE,54.0mg/kg,3.0d,7.605129,2.5836554,271907146,pink,INHIBITOR
dot,M,AZATHIOPRINE,54.0mg/kg,3.0d,7.605129,2.5836554,271907146,pink,INHIBITOR
dot,M,DIETHYLSTILBESTROL,280.0mg/kg,3.0d,6.7760296,2.5608525,270955309,orange,AGONIST
dot,M,IFOSFAMIDE,143.0mg/kg,1.0d,6.330935,2.1724958,270965755,pink,INHIBITOR
dot,M,URETHANE,453.0mg/kg,5.0d,2.4993887,0.8215777,271907749,black,NULL
dot,M,CYTARABINE,23.0mg/kg,1.0d,3.0826664,0.31451264,271171071,pink,INHIBITOR
dot,M,CYTARABINE,23.0mg/kg,1.0d,3.0826664,0.31451264,271171071,pink,INHIBITOR
dot,M,CYTARABINE,23.0mg/kg,1.0d,3.0826664,0.31451264,271171071,pink,INHIBITOR
dot,M,METHOTREXATE,0.3mg/kg,0.25d,3.445371,4.2845697,270965669,pink,INHIBITOR
dot,M,FAMCICLOVIR,1200.0mg/kg,3.0d,0.63068175,3.4300795,271908540,pink,INHIBITOR
dot,M,VALPROIC ACID,235.0mg/kg,1.0d,2.3627787,0.60449076,271048078,pink,INHIBITOR
dot,M,HYDROCORTISONE,56.0mg/kg,5.0d,4.632998,6.709133,270950727,orange,AGONIST
dot,M,CLOPIDOGREL,400.0mg/kg,0.25d,5.504845,0.069284774,271146295,green,ANTAGONIST
dot,M,ETOPOSIDE,188.0mg/kg,3.0d,7.6816573,2.5455132,271908537,pink,INHIBITOR
dot,M,CYTARABINE,23.0mg/kg,3.0d,5.0415797,6.767654,271171071,pink,INHIBITOR
dot,M,CYTARABINE,23.0mg/kg,3.0d,5.0415797,6.767654,271171071,pink,INHIBITOR
dot,M,CYTARABINE,23.0mg/kg,3.0d,5.0415797,6.767654,271171071,pink,INHIBITOR
dot,M,IFOSFAMIDE,17.0mg/kg,3.0d,5.0984073,6.6556783,270965755,pink,INHIBITOR
dot,M,CYCLOSPORIN A,70.0mg/kg,3.0d,1.6722956,3.4848588,271150858,gray,MODULATOR
dot,M,CLOBETASOL PROPIONATE,17.0mg/kg,3.0d,4.246158,6.9656053,271912906,orange,AGONIST
dot,M,CHLORAMBUCIL,4.5mg/kg,5.0d,4.208957,6.9928107,270986834,pink,INHIBITOR
dot,M,FAMCICLOVIR,112.0mg/kg,3.0d,0.5538352,3.5125172,271908540,pink,INHIBITOR
dot,M,PROCARBAZINE,54.0mg/kg,1.0d,2.0688646,0.791936,271055878,pink,INHIBITOR
dot,M,CYCLOSPORIN A,350.0mg/kg,5.0d,5.5201397,5.376153,271150858,gray,MODULATOR
dot,M,VALPROIC ACID,850.0mg/kg,1.0d,2.535777,-0.014719154,271048078,pink,INHIBITOR
dot,M,ETHYLENE GLYCOL,352.0mg/kg,1.0d,3.1043475,-0.19726779,271077373,black,NULL
dot,M,HYDROXYUREA,59.0mg/kg,3.0d,4.4719963,7.0322824,270965689,pink,INHIBITOR
dot,M,AMIKACIN,82.0mg/kg,1.0d,3.3289192,-0.28785446,271908324,pink,INHIBITOR
dot,M,BUSULFAN,9.0mg/kg,3.0d,2.5270958,5.519277,271907517,pink,INHIBITOR
dot,M,GEMCITABINE,11.0mg/kg,1.0d,6.500733,2.426143,271435455,pink,INHIBITOR
dot,M,GEMCITABINE,11.0mg/kg,1.0d,6.500733,2.426143,271435455,pink,INHIBITOR
dot,M,CLOBETASOL PROPIONATE,17.0mg/kg,1.0d,4.366795,6.798842,271912906,orange,AGONIST
dot,M,AZATHIOPRINE,20.0mg/kg,3.0d,4.070678,5.8100038,271907146,pink,INHIBITOR
dot,M,AZATHIOPRINE,20.0mg/kg,3.0d,4.070678,5.8100038,271907146,pink,INHIBITOR
dot,M,DOXIFLURIDINE,1230.0mg/kg,3.0d,4.3229804,0.120365486,271908500,brown,DISRUPTING AGENT
dot,M,DOXIFLURIDINE,1230.0mg/kg,3.0d,4.3229804,0.120365486,271908500,brown,DISRUPTING AGENT
dot,M,DOXIFLURIDINE,1230.0mg/kg,3.0d,4.3229804,0.120365486,271908500,pink,INHIBITOR
dot,M,BITHIONOL,333.0mg/kg,3.0d,-0.14416501,4.2768993,271907709,black,NULL
dot,M,ETHYLENE GLYCOL,3525.0mg/kg,3.0d,4.4425855,0.50664115,271077373,black,NULL
dot,M,MELPHALAN,12.0mg/kg,1.0d,4.462038,1.2817254,271907461,pink,INHIBITOR
dot,M,CYTARABINE,23.0mg/kg,0.25d,3.5443523,0.15102887,271171071,pink,INHIBITOR
dot,M,CYTARABINE,23.0mg/kg,0.25d,3.5443523,0.15102887,271171071,pink,INHIBITOR
dot,M,CYTARABINE,23.0mg/kg,0.25d,3.5443523,0.15102887,271171071,pink,INHIBITOR
dot,M,MITOMYCIN C,0.5mg/kg,0.25d,1.7810702,2.6570923,271907514,pink,INHIBITOR
dot,M,PROCARBAZINE,27.0mg/kg,3.0d,5.057327,6.689682,271055878,pink,INHIBITOR
dot,M,IFOSFAMIDE,17.0mg/kg,0.25d,1.2158732,0.04185026,270965755,pink,INHIBITOR
dot,M,MITOMYCIN C,0.5mg/kg,3.0d,2.337005,0.068158604,271907514,pink,INHIBITOR
dot,M,BETAMETHASONE,79.0mg/kg,3.0d,4.4199734,6.794872,270949613,orange,AGONIST
dot,M,ETHYLENE GLYCOL,352.0mg/kg,3.0d,3.1232631,-0.3132757,271077373,black,NULL
dot,M,VINBLASTINE,0.3mg/kg,1.0d,4.325125,0.09144118,271907750,pink,INHIBITOR
dot,M,TEGAFUR,175.0mg/kg,1.0d,2.040408,1.8131698,271907690,pink,INHIBITOR
dot,M,TEGAFUR,175.0mg/kg,1.0d,2.040408,1.8131698,271907690,pink,INHIBITOR
dot,M,TEGAFUR,175.0mg/kg,1.0d,2.040408,1.8131698,271907690,pink,INHIBITOR
dot,M,TEGAFUR,175.0mg/kg,3.0d,5.3160224,1.6693053,271907690,pink,INHIBITOR
dot,M,TEGAFUR,175.0mg/kg,3.0d,5.3160224,1.6693053,271907690,pink,INHIBITOR
dot,M,TEGAFUR,175.0mg/kg,3.0d,5.3160224,1.6693053,271907690,pink,INHIBITOR
dot,M,CYTARABINE,487.0mg/kg,5.0d,4.399728,6.953522,271171071,pink,INHIBITOR
dot,M,CYTARABINE,487.0mg/kg,5.0d,4.399728,6.953522,271171071,pink,INHIBITOR
dot,M,CYTARABINE,487.0mg/kg,5.0d,4.399728,6.953522,271171071,pink,INHIBITOR
dot,M,HYDROCORTISONE,56.0mg/kg,1.0d,0.6257842,2.0766234,270950727,orange,AGONIST
dot,M,PROCARBAZINE,54.0mg/kg,3.0d,4.90439,5.918716,271055878,pink,INHIBITOR
dot,M,BITHIONOL,333.0mg/kg,1.0d,2.142012,5.469837,271907709,black,NULL
dot,M,VALPROIC ACID,235.0mg/kg,3.0d,1.6175038,5.7526364,271048078,pink,INHIBITOR
dot,M,5-FLUORO-2'-DEOXYURIDINE,54.0mg/kg,1.0d,4.3239737,0.2577809,271753947,pink,INHIBITOR
dot,M,DIETHYLSTILBESTROL,2.8mg/kg,1.0d,1.6162738,5.9068747,270955309,orange,AGONIST
dot,M,DIETHYLSTILBESTROL,280.0mg/kg,1.0d,1.6392416,5.8995795,270955309,orange,AGONIST
dot,M,CYCLOPHOSPHAMIDE,25.0mg/kg,0.25d,1.3723209,0.87199783,270965750,pink,INHIBITOR
dot,M,AMIKACIN,20.0mg/kg,1.0d,3.3085678,-0.27473265,271908324,pink,INHIBITOR
dot,M,PENTAMIDINE,18.0mg/kg,3.0d,4.361732,0.15978476,270990473,pink,INHIBITOR
dot,M,PENTAMIDINE,18.0mg/kg,3.0d,4.361732,0.15978476,270990473,pink,INHIBITOR
dot,M,FAMCICLOVIR,1200.0mg/kg,1.0d,2.0340703,1.0728905,271908540,pink,INHIBITOR
dot,M,DIETHYLSTILBESTROL,280.0mg/kg,5.0d,7.1557755,2.6460643,270955309,orange,AGONIST
dot,M,LOMUSTINE,4.2mg/kg,0.25d,1.1693466,5.962493,271908624,pink,INHIBITOR
