type,mode,chemical,dose,duration,col0,col1,smi_id,color,action_type
dot,M,5-FLUORO-2'-DEOXYURIDINE,54.0mg/kg,1.0d,11.19267,10.379069,271753947,pink,INHIBITOR
dot,M,5-FLUORO-2'-DEOXYURIDINE,54.0mg/kg,3.0d,11.211675,10.515315,271753947,pink,INHIBITOR
dot,M,5-FLUORO-2'-DEOXYURIDINE,54.0mg/kg,5.0d,10.005624,14.010305,271753947,pink,INHIBITOR
dot,M,AMIKACIN,20.0mg/kg,0.25d,10.502063,10.082966,271908324,pink,INHIBITOR
dot,M,AMIKACIN,20.0mg/kg,1.0d,10.599493,10.098755,271908324,pink,INHIBITOR
dot,M,AMIKACIN,82.0mg/kg,1.0d,10.243029,10.503857,271908324,pink,INHIBITOR
dot,M,AMIKACIN,82.0mg/kg,3.0d,10.499003,10.112118,271908324,pink,INHIBITOR
dot,M,AZATHIOPRINE,20.0mg/kg,0.25d,8.331206,12.605436,271907146,pink,INHIBITOR
dot,M,AZATHIOPRINE,20.0mg/kg,0.25d,8.331206,12.605436,271907146,pink,INHIBITOR
dot,M,AZATHIOPRINE,20.0mg/kg,1.0d,7.494187,12.781354,271907146,pink,INHIBITOR
dot,M,AZATHIOPRINE,20.0mg/kg,1.0d,7.494187,12.781354,271907146,pink,INHIBITOR
dot,M,AZATHIOPRINE,20.0mg/kg,3.0d,8.008757,15.41236,271907146,pink,INHIBITOR
dot,M,AZATHIOPRINE,20.0mg/kg,3.0d,8.008757,15.41236,271907146,pink,INHIBITOR
dot,M,AZATHIOPRINE,54.0mg/kg,1.0d,6.3057423,14.92251,271907146,pink,INHIBITOR
dot,M,AZATHIOPRINE,54.0mg/kg,1.0d,6.3057423,14.92251,271907146,pink,INHIBITOR
dot,M,AZATHIOPRINE,54.0mg/kg,3.0d,11.193632,15.258394,271907146,pink,INHIBITOR
dot,M,AZATHIOPRINE,54.0mg/kg,3.0d,11.193632,15.258394,271907146,pink,INHIBITOR
dot,M,AZATHIOPRINE,54.0mg/kg,5.0d,10.740933,14.9785595,271907146,pink,INHIBITOR
dot,M,AZATHIOPRINE,54.0mg/kg,5.0d,10.740933,14.9785595,271907146,pink,INHIBITOR
dot,M,BETAMETHASONE,79.0mg/kg,1.0d,12.503579,12.296087,270949613,orange,AGONIST
dot,M,BETAMETHASONE,79.0mg/kg,3.0d,11.880625,12.184018,270949613,orange,AGONIST
dot,M,BETAMETHASONE,79.0mg/kg,5.0d,11.789333,12.4432,270949613,orange,AGONIST
dot,M,BITHIONOL,333.0mg/kg,1.0d,7.9649954,16.293001,271907709,black,NULL
