type,mode,chemical,dose,duration,col0,col1,smi_id,color,action_type
dot,M,METHOTREXATE,27.0mg/kg,1.0d,12.984175,10.58379,270965669,pink,INHIBITOR
dot,M,BETAMETHASONE,79.0mg/kg,1.0d,11.356656,11.22425,270949613,orange,AGONIST
dot,M,PROCARBAZINE,27.0mg/kg,0.25d,8.296983,9.009557,271055878,pink,INHIBITOR
dot,M,ETOPOSIDE,100.0mg/kg,1.0d,10.890927,13.485697,271908537,pink,INHIBITOR
dot,M,CYCLOSPORIN A,70.0mg/kg,0.25d,15.296707,7.8637743,271150858,gray,MODULATOR
dot,M,CLOPIDOGREL,400.0mg/kg,3.0d,12.738139,8.371235,271146295,green,ANTAGONIST
dot,M,LOMUSTINE,4.2mg/kg,3.0d,14.67596,11.564536,271908624,pink,INHIBITOR
dot,M,FAMCICLOVIR,1200.0mg/kg,5.0d,9.666914,8.685087,271908540,pink,INHIBITOR
dot,M,DIETHYLSTILBESTROL,2.8mg/kg,0.25d,15.680178,8.101844,270955309,orange,AGONIST
dot,M,ETHYLENE GLYCOL,352.0mg/kg,0.25d,8.065,9.0179405,271077373,black,NULL
dot,M,PENTAMIDINE,18.0mg/kg,1.0d,11.72444,7.4245534,270990473,pink,INHIBITOR
dot,M,PENTAMIDINE,18.0mg/kg,1.0d,11.72444,7.4245534,270990473,pink,INHIBITOR
dot,M,AZATHIOPRINE,54.0mg/kg,3.0d,10.202231,13.640942,271907146,pink,INHIBITOR
dot,M,AZATHIOPRINE,54.0mg/kg,3.0d,10.202231,13.640942,271907146,pink,INHIBITOR
dot,M,DIETHYLSTILBESTROL,280.0mg/kg,3.0d,10.7230215,13.881078,270955309,orange,AGONIST
dot,M,IFOSFAMIDE,143.0mg/kg,1.0d,10.916186,13.5219965,270965755,pink,INHIBITOR
dot,M,URETHANE,453.0mg/kg,5.0d,9.972891,9.198573,271907749,black,NULL
dot,M,CYTARABINE,23.0mg/kg,1.0d,10.238144,7.451307,271171071,pink,INHIBITOR
dot,M,CYTARABINE,23.0mg/kg,1.0d,10.238144,7.451307,271171071,pink,INHIBITOR
dot,M,CYTARABINE,23.0mg/kg,1.0d,10.238144,7.451307,271171071,pink,INHIBITOR
dot,M,METHOTREXATE,0.3mg/kg,0.25d,15.783339,8.769971,270965669,pink,INHIBITOR
dot,M,FAMCICLOVIR,1200.0mg/kg,3.0d,11.215624,7.6696897,271908540,pink,INHIBITOR
dot,M,VALPROIC ACID,235.0mg/kg,1.0d,9.987345,9.616507,271048078,pink,INHIBITOR
dot,M,HYDROCORTISONE,56.0mg/kg,5.0d,14.098335,12.697341,270950727,orange,AGONIST
dot,M,CLOPIDOGREL,400.0mg/kg,0.25d,14.396669,6.778679,271146295,green,ANTAGONIST
dot,M,ETOPOSIDE,188.0mg/kg,3.0d,10.191118,13.943789,271908537,pink,INHIBITOR
dot,M,CYTARABINE,23.0mg/kg,3.0d,13.812965,12.5407915,271171071,pink,INHIBITOR
dot,M,CYTARABINE,23.0mg/kg,3.0d,13.812965,12.5407915,271171071,pink,INHIBITOR
dot,M,CYTARABINE,23.0mg/kg,3.0d,13.812965,12.5407915,271171071,pink,INHIBITOR
dot,M,IFOSFAMIDE,17.0mg/kg,3.0d,13.352313,12.2755785,270965755,pink,INHIBITOR
dot,M,CYCLOSPORIN A,70.0mg/kg,3.0d,13.014291,7.4200406,271150858,gray,MODULATOR
dot,M,CLOBETASOL PROPIONATE,17.0mg/kg,3.0d,14.806332,13.116257,271912906,orange,AGONIST
