type,mode,chemical,dose,duration,col0,col1,smi_id,color,action_type
triangle,P,AMANTADINE,220.0mg/kg,3.0d,12.822029,-1.6279641,270965699,green,ANTAGONIST
triangle,P,AMANTADINE,220.0mg/kg,3.0d,12.822029,-1.6279641,270965699,pink,INHIBITOR
triangle,P,CHLORAMBUCIL,0.6mg/kg,0.25d,12.209751,-4.9039392,270986834,pink,INHIBITOR
triangle,P,LOXOPROFEN,18.0mg/kg,0.25d,14.535541,-3.9197254,270959399,pink,INHIBITOR
triangle,P,KETOCONAZOLE,114.0mg/kg,1.0d,14.765391,-3.9086137,271763056,pink,INHIBITOR
triangle,P,LOMUSTINE,8.75mg/kg,3.0d,13.849571,-2.1490142,271908624,pink,INHIBITOR
triangle,P,OFLOXACIN,30.0mg/kg,3.0d,10.605224,-1.7849104,270965760,pink,INHIBITOR
triangle,P,ZALEPLON,100.0mg/kg,1.0d,12.823876,-4.2345533,271908871,maroon,POSITIVE ALLOSTERIC MODULATOR
triangle,P,LABETALOL,60.0mg/kg,3.0d,12.128347,-2.7349143,270965671,green,ANTAGONIST
triangle,P,LABETALOL,60.0mg/kg,3.0d,12.128347,-2.7349143,270965671,orange,AGONIST
triangle,P,BACLOFEN,6.6mg/kg,5.0d,13.03131,-3.4175591,271178290,orange,AGONIST
triangle,P,SPIRONOLACTONE,300.0mg/kg,1.0d,12.914951,-2.1114662,271910487,green,ANTAGONIST
triangle,P,VALSARTAN,30.0mg/kg,1.0d,10.35233,-3.1093755,270965710,green,ANTAGONIST
triangle,P,DICLOFENAC,3.5mg/kg,3.0d,11.999452,-3.8684442,271532305,pink,INHIBITOR
triangle,P,ACEMETACIN,2.0mg/kg,1.0d,12.361035,-3.0523884,271908307,pink,INHIBITOR
triangle,P,CADMIUM ACETATE,167.0mg/kg,3.0d,12.3930235,-1.256384,270952596,lightgray,SEQUESTERING AGENT
triangle,P,CADMIUM ACETATE,167.0mg/kg,3.0d,12.3930235,-1.256384,270952596,black,NULL
triangle,P,OXYTETRACYCLINE,1500.0mg/kg,5.0d,13.057822,0.12669785,271910505,pink,INHIBITOR
triangle,P,LORAZEPAM,2000.0mg/kg,3.0d,12.430079,-0.7080524,271908627,maroon,POSITIVE ALLOSTERIC MODULATOR
triangle,P,NEVIRAPINE,29.0mg/kg,0.25d,13.117251,-3.345158,271910304,pink,INHIBITOR
triangle,P,TACROLIMUS,134.0mg/kg,3.0d,12.107674,-3.4770281,271639354,pink,INHIBITOR
triangle,P,ZOPICLONE,414.0mg/kg,1.0d,13.251784,-1.6420653,271047849,maroon,POSITIVE ALLOSTERIC MODULATOR
triangle,P,ZOPICLONE,414.0mg/kg,1.0d,13.251784,-1.6420653,271047849,maroon,POSITIVE ALLOSTERIC MODULATOR
triangle,P,ACETAMINOPHEN,486.0mg/kg,3.0d,14.264335,-2.0365102,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,486.0mg/kg,3.0d,14.264335,-2.0365102,271268112,pink,INHIBITOR
