type,mode,chemical,dose,duration,col0,col1,smi_id,color,action_type
dot,M,CAFFEINE,93.0mg/kg,0.25d,13.847614,4.501945,271091373,green,ANTAGONIST
dot,M,CAFFEINE,93.0mg/kg,1.0d,17.869589,7.0787935,271091373,green,ANTAGONIST
dot,M,CAFFEINE,93.0mg/kg,3.0d,16.507172,6.357911,271091373,green,ANTAGONIST
dot,M,CAFFEINE,93.0mg/kg,5.0d,14.275232,7.6836424,271091373,green,ANTAGONIST
dot,M,CARBACHOL,15.0mg/kg,0.25d,17.010195,6.8010297,271908399,orange,AGONIST
dot,M,CARBACHOL,15.0mg/kg,1.0d,16.183355,7.4567266,271908399,orange,AGONIST
dot,M,CARBACHOL,15.0mg/kg,3.0d,16.112947,7.519831,271908399,orange,AGONIST
dot,M,CARBACHOL,15.0mg/kg,5.0d,16.213455,7.5803585,271908399,orange,AGONIST
dot,M,ETHOSUXIMIDE,1200.0mg/kg,1.0d,11.614361,5.461793,271908528,blue,BLOCKER
dot,M,ETHOSUXIMIDE,1200.0mg/kg,3.0d,11.440951,5.8449836,271908528,blue,BLOCKER
dot,M,ETHOSUXIMIDE,1200.0mg/kg,5.0d,11.480398,5.8305354,271908528,blue,BLOCKER
dot,M,HALOPERIDOL,21.0mg/kg,0.25d,15.402428,5.619407,271910483,magenta,INVERSE AGONIST
dot,M,HALOPERIDOL,21.0mg/kg,0.25d,15.402428,5.619407,271910483,green,ANTAGONIST
dot,M,HALOPERIDOL,21.0mg/kg,1.0d,14.686528,2.6797502,271910483,magenta,INVERSE AGONIST
dot,M,HALOPERIDOL,21.0mg/kg,1.0d,14.686528,2.6797502,271910483,green,ANTAGONIST
dot,M,HALOPERIDOL,21.0mg/kg,3.0d,16.272923,5.5866966,271910483,magenta,INVERSE AGONIST
dot,M,HALOPERIDOL,21.0mg/kg,3.0d,16.272923,5.5866966,271910483,green,ANTAGONIST
dot,M,HALOPERIDOL,21.0mg/kg,5.0d,13.667958,5.592591,271910483,magenta,INVERSE AGONIST
dot,M,HALOPERIDOL,21.0mg/kg,5.0d,13.667958,5.592591,271910483,green,ANTAGONIST
dot,M,IPRONIAZID,46.0mg/kg,0.25d,16.902966,2.7922366,271908607,pink,INHIBITOR
dot,M,IPRONIAZID,46.0mg/kg,1.0d,17.301805,2.9916265,271908607,pink,INHIBITOR
dot,M,IPRONIAZID,46.0mg/kg,3.0d,13.733785,4.475102,271908607,pink,INHIBITOR
dot,M,IPRONIAZID,46.0mg/kg,5.0d,17.029467,2.6761951,271908607,pink,INHIBITOR
dot,M,MOCLOBEMIDE,266.0mg/kg,1.0d,17.09555,5.6293178,271911043,pink,INHIBITOR
dot,M,MOCLOBEMIDE,266.0mg/kg,3.0d,14.135921,5.211744,271911043,pink,INHIBITOR
dot,M,MOCLOBEMIDE,266.0mg/kg,5.0d,13.961456,5.2386127,271911043,pink,INHIBITOR
dot,M,PAROXETINE,104.0mg/kg,0.25d,15.597037,7.0143523,271429212,pink,INHIBITOR
dot,M,PAROXETINE,104.0mg/kg,1.0d,15.270234,7.095126,271429212,pink,INHIBITOR
dot,M,PAROXETINE,104.0mg/kg,3.0d,15.318999,7.7017503,271429212,pink,INHIBITOR
dot,M,PAROXETINE,104.0mg/kg,5.0d,15.704043,7.2931037,271429212,pink,INHIBITOR
