type,mode,chemical,dose,duration,col0,col1,smi_id,color,action_type
triangle,P,AMANTADINE,220.0mg/kg,3.0d,14.602333,3.2211566,270965699,green,ANTAGONIST
triangle,P,AMANTADINE,220.0mg/kg,3.0d,14.602333,3.2211566,270965699,pink,INHIBITOR
triangle,P,CHLORAMBUCIL,0.6mg/kg,0.25d,16.349493,0.6489928,270986834,pink,INHIBITOR
triangle,P,LOXOPROFEN,18.0mg/kg,0.25d,17.102207,2.8075526,270959399,pink,INHIBITOR
triangle,P,KETOCONAZOLE,114.0mg/kg,1.0d,17.484161,3.3066578,271763056,pink,INHIBITOR
triangle,P,LOMUSTINE,8.75mg/kg,3.0d,15.452216,3.878903,271908624,pink,INHIBITOR
triangle,P,OFLOXACIN,30.0mg/kg,3.0d,12.952951,1.6240958,270965760,pink,INHIBITOR
triangle,P,ZALEPLON,100.0mg/kg,1.0d,15.702797,1.3404298,271908871,maroon,POSITIVE ALLOSTERIC MODULATOR
triangle,P,LABETALOL,60.0mg/kg,3.0d,14.786513,1.9932637,270965671,green,ANTAGONIST
triangle,P,LABETALOL,60.0mg/kg,3.0d,14.786513,1.9932637,270965671,orange,AGONIST
triangle,P,BACLOFEN,6.6mg/kg,5.0d,15.473389,1.9307126,271178290,orange,AGONIST
triangle,P,SPIRONOLACTONE,300.0mg/kg,1.0d,14.452305,2.8590655,271910487,green,ANTAGONIST
triangle,P,VALSARTAN,30.0mg/kg,1.0d,13.874295,0.29863542,270965710,green,ANTAGONIST
triangle,P,DICLOFENAC,3.5mg/kg,3.0d,15.163691,1.1139414,271532305,pink,INHIBITOR
triangle,P,ACEMETACIN,2.0mg/kg,1.0d,15.080781,1.8933871,271908307,pink,INHIBITOR
triangle,P,CADMIUM ACETATE,167.0mg/kg,3.0d,13.629375,3.1395507,270952596,lightgray,SEQUESTERING AGENT
triangle,P,CADMIUM ACETATE,167.0mg/kg,3.0d,13.629375,3.1395507,270952596,black,NULL
triangle,P,OXYTETRACYCLINE,1500.0mg/kg,5.0d,13.349473,4.8290396,271910505,pink,INHIBITOR
triangle,P,LORAZEPAM,2000.0mg/kg,3.0d,13.674434,3.945177,271908627,maroon,POSITIVE ALLOSTERIC MODULATOR
triangle,P,NEVIRAPINE,29.0mg/kg,0.25d,16.1403,2.0980537,271910304,pink,INHIBITOR
triangle,P,TACROLIMUS,134.0mg/kg,3.0d,14.119568,1.8929776,271639354,pink,INHIBITOR
triangle,P,ZOPICLONE,414.0mg/kg,1.0d,14.796941,3.3735342,271047849,maroon,POSITIVE ALLOSTERIC MODULATOR
triangle,P,ZOPICLONE,414.0mg/kg,1.0d,14.796941,3.3735342,271047849,maroon,POSITIVE ALLOSTERIC MODULATOR
triangle,P,ACETAMINOPHEN,486.0mg/kg,3.0d,16.195925,3.5794668,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,486.0mg/kg,3.0d,16.195925,3.5794668,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,486.0mg/kg,3.0d,16.195925,3.5794668,271268112,navy,OPENER
triangle,P,PHENACETIN,619.0mg/kg,5.0d,16.854746,1.2400708,271907616,black,NULL
triangle,P,AMPRENAVIR,600.0mg/kg,1.0d,17.180967,2.5883024,271637496,pink,INHIBITOR
triangle,P,CARBACHOL,15.0mg/kg,0.25d,15.032447,1.0385556,271908399,orange,AGONIST
triangle,P,DEXAMETHASONE,1.0mg/kg,3.0d,12.6990185,2.3797712,270949613,orange,AGONIST
triangle,P,BETAHISTINE,1500.0mg/kg,3.0d,15.454143,5.326821,271908360,orange,AGONIST
triangle,P,BETAHISTINE,1500.0mg/kg,3.0d,15.454143,5.326821,271908360,green,ANTAGONIST
triangle,P,AZITHROMYCIN,225.0mg/kg,5.0d,14.963409,0.36060795,270965676,pink,INHIBITOR
triangle,P,KETOPROFEN,20.4mg/kg,0.25d,16.838886,2.9740572,270965762,pink,INHIBITOR
triangle,P,DIPHENHYDRAMINE,100.0mg/kg,5.0d,13.288921,1.2659998,270965888,green,ANTAGONIST
triangle,P,ACETAMINOPHEN,486.0mg/kg,0.25d,15.346888,1.0582745,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,486.0mg/kg,0.25d,15.346888,1.0582745,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,486.0mg/kg,0.25d,15.346888,1.0582745,271268112,navy,OPENER
triangle,P,SISOMICIN,34.0mg/kg,5.0d,15.961977,2.4472077,271084334,pink,INHIBITOR
triangle,P,RITONAVIR,1200.0mg/kg,5.0d,14.246693,3.268395,271346235,pink,INHIBITOR
triangle,P,RITONAVIR,1200.0mg/kg,5.0d,14.246693,3.268395,271346235,pink,INHIBITOR
triangle,P,CYCLOSPORIN A,70.0mg/kg,1.0d,14.723166,4.8092413,271150858,gray,MODULATOR
triangle,P,FLUPHENAZINE,22.0mg/kg,0.25d,15.531862,3.435692,271908555,green,ANTAGONIST
triangle,P,PHENACEMIDE,400.0mg/kg,1.0d,17.209604,2.4643736,271908732,blue,BLOCKER
triangle,P,AMITRIPTYLINE,160.0mg/kg,5.0d,15.556577,2.6395597,271908328,pink,INHIBITOR
triangle,P,AMITRIPTYLINE,160.0mg/kg,5.0d,15.556577,2.6395597,271908328,pink,INHIBITOR
triangle,P,NETILMICIN,41.0mg/kg,3.0d,12.818025,2.138314,271637449,pink,INHIBITOR
triangle,P,4-METHYLPYRAZOLE,155.0mg/kg,1.0d,16.253824,1.0277704,271057748,pink,INHIBITOR
triangle,P,MITOXANTRONE,2.0mg/kg,3.0d,13.389293,2.2939024,271637429,pink,INHIBITOR
triangle,P,MITOXANTRONE,2.0mg/kg,3.0d,13.389293,2.2939024,271637429,pink,INHIBITOR
triangle,P,IBUPROFEN,263.0mg/kg,3.0d,14.260762,0.6948959,270958762,pink,INHIBITOR
triangle,P,TOCAINIDE,67.0mg/kg,3.0d,15.963569,0.50381535,271911127,blue,BLOCKER
triangle,P,PREDNISOLONE,184.0mg/kg,5.0d,13.5647335,2.7121472,270965695,orange,AGONIST
triangle,P,CLARITHROMYCIN,56.0mg/kg,3.0d,16.179155,3.1467972,270965683,pink,INHIBITOR
triangle,P,SPARFLOXACIN,29.0mg/kg,1.0d,14.627072,1.5318681,271908796,pink,INHIBITOR
triangle,P,SPARFLOXACIN,29.0mg/kg,1.0d,14.627072,1.5318681,271908796,pink,INHIBITOR
triangle,P,ALENDRONIC ACID,138.0mg/kg,3.0d,15.950564,1.4069431,271163600,pink,INHIBITOR
triangle,P,SPARFLOXACIN,29.0mg/kg,3.0d,16.780865,4.1668034,271908796,pink,INHIBITOR
triangle,P,SPARFLOXACIN,29.0mg/kg,3.0d,16.780865,4.1668034,271908796,pink,INHIBITOR
triangle,P,PRAVASTATIN,1200.0mg/kg,5.0d,15.6079,0.012474977,270965682,pink,INHIBITOR
triangle,P,ALFACALCIDOL,0.04mg/kg,1.0d,15.734988,-0.23876858,271908317,orange,AGONIST
triangle,P,BUSPIRONE,196.0mg/kg,1.0d,16.271166,2.7349746,271908384,khaki,PARTIAL AGONIST
triangle,P,DICUMAROL,5.0mg/kg,1.0d,14.8989105,1.4983844,271907888,pink,INHIBITOR
triangle,P,DIPHENHYDRAMINE,100.0mg/kg,3.0d,13.351618,1.2496722,270965888,green,ANTAGONIST
triangle,P,CLINDAMYCIN,161.0mg/kg,1.0d,16.827799,3.420236,271348801,pink,INHIBITOR
triangle,P,MELOXICAM,33.0mg/kg,3.0d,14.28319,3.1930654,271907460,pink,INHIBITOR
triangle,P,FLUPHENAZINE,22.0mg/kg,5.0d,13.734744,3.4797711,271908555,green,ANTAGONIST
triangle,P,KETOPROFEN,20.4mg/kg,5.0d,13.585128,3.1836298,270965762,pink,INHIBITOR
triangle,P,LAMIVUDINE,1300.0mg/kg,3.0d,15.770743,2.2918384,271048164,pink,INHIBITOR
triangle,P,LAMIVUDINE,1300.0mg/kg,3.0d,15.770743,2.2918384,271048164,pink,INHIBITOR
triangle,P,LAMIVUDINE,1300.0mg/kg,3.0d,15.770743,2.2918384,271048164,pink,INHIBITOR
triangle,P,ZOPICLONE,414.0mg/kg,5.0d,15.389096,2.7088592,271047849,maroon,POSITIVE ALLOSTERIC MODULATOR
triangle,P,ZOPICLONE,414.0mg/kg,5.0d,15.389096,2.7088592,271047849,maroon,POSITIVE ALLOSTERIC MODULATOR
triangle,P,HYDROXYUREA,59.0mg/kg,0.25d,16.064867,2.2417607,270965689,pink,INHIBITOR
triangle,P,URETHANE,453.0mg/kg,0.25d,15.320551,1.5932919,271907749,black,NULL
triangle,P,CLOPIDOGREL,400.0mg/kg,0.25d,15.940658,2.299688,271146295,green,ANTAGONIST
triangle,P,NATEGLINIDE,625.0mg/kg,5.0d,16.191484,2.7060397,271639355,blue,BLOCKER
triangle,P,ACETAMINOPHEN,972.0mg/kg,5.0d,16.197323,2.443323,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,972.0mg/kg,5.0d,16.197323,2.443323,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,972.0mg/kg,5.0d,16.197323,2.443323,271268112,navy,OPENER
triangle,P,FLUVASTATIN,5.0mg/kg,1.0d,15.599361,2.5590553,271907397,pink,INHIBITOR
triangle,P,LOMUSTINE,8.75mg/kg,5.0d,14.872964,0.8441863,271908624,pink,INHIBITOR
triangle,P,PRAZOSIN,2000.0mg/kg,3.0d,12.391623,0.84716594,271914099,green,ANTAGONIST
triangle,P,CIPROFLOXACIN,72.0mg/kg,0.25d,13.641267,4.8527102,270995020,pink,INHIBITOR
triangle,P,CIPROFLOXACIN,72.0mg/kg,0.25d,13.641267,4.8527102,270995020,pink,INHIBITOR
