type,mode,chemical,dose,duration,col0,col1,smi_id,color,action_type
dot,M,ANGIOTENSIN II HUMAN,0.72mg/kg,3.0d,1.1326338,11.82605,271918085,orange,AGONIST
dot,M,METOPROLOL,120.0mg/kg,3.0d,0.70138186,12.083006,270965703,green,ANTAGONIST
dot,M,VALPROIC ACID,1500.0mg/kg,3.0d,2.2730012,8.274981,271048078,pink,INHIBITOR
dot,M,CALCITRIOL,0.04mg/kg,5.0d,2.137008,8.956581,271908394,orange,AGONIST
dot,M,DEXAMETHASONE,1.0mg/kg,3.0d,6.574491,8.610644,270949613,orange,AGONIST
dot,M,TERFENADINE,750.0mg/kg,3.0d,4.2082815,10.32978,271908820,green,ANTAGONIST
dot,M,PHENACEMIDE,400.0mg/kg,3.0d,0.7425521,9.8800535,271908732,blue,BLOCKER
dot,M,HYDRALAZINE,280.0mg/kg,5.0d,4.1346264,9.798958,271908582,black,NULL
dot,M,ESMOLOL,27.0mg/kg,1.0d,-3.1304593,9.0013275,271908515,green,ANTAGONIST
dot,M,ESMOLOL,27.0mg/kg,1.0d,-3.1304593,9.0013275,271908515,green,ANTAGONIST
dot,M,RANITIDINE,1500.0mg/kg,5.0d,-1.0652186,8.199196,270965721,green,ANTAGONIST
dot,M,ETHOSUXIMIDE,1200.0mg/kg,1.0d,2.9750345,12.13339,271908528,blue,BLOCKER
dot,M,OLANZAPINE,23.0mg/kg,1.0d,3.0180244,12.211461,271908711,green,ANTAGONIST
dot,M,OLANZAPINE,23.0mg/kg,1.0d,3.0180244,12.211461,271908711,green,ANTAGONIST
dot,M,OLANZAPINE,23.0mg/kg,1.0d,3.0180244,12.211461,271908711,green,ANTAGONIST
dot,M,MEXILETINE,350.0mg/kg,1.0d,-1.9891348,9.837265,271183680,blue,BLOCKER
dot,M,FLUDROCORTISONE ACETATE,125.0mg/kg,3.0d,5.3147793,9.062404,271908552,orange,AGONIST
dot,M,ROFLUMILAST,17.0mg/kg,1.0d,1.9502425,7.723254,271912127,pink,INHIBITOR
dot,M,TETRACAINE,24.0mg/kg,1.0d,-3.1900222,8.017051,271911969,blue,BLOCKER
dot,M,LEVOFLOXACIN,739.0mg/kg,3.0d,-3.0259473,8.792782,270965760,pink,INHIBITOR
dot,M,CHLORAMBUCIL,4.5mg/kg,5.0d,-3.3795207,8.2167845,270986834,pink,INHIBITOR
dot,M,TRIHEXYPHENIDYL,588.0mg/kg,1.0d,-2.6074822,9.683778,271641211,green,ANTAGONIST
dot,M,DEXFENFLURAMINE,29.0mg/kg,3.0d,4.3730087,11.322788,271914018,orange,AGONIST
dot,M,ALFACALCIDOL,0.04mg/kg,1.0d,-2.9407613,9.488136,271908317,orange,AGONIST
dot,M,CHLORAMBUCIL,4.5mg/kg,3.0d,1.1397705,11.548475,270986834,pink,INHIBITOR
dot,M,CISAPRIDE,250.0mg/kg,5.0d,1.7838478,7.4712214,271908440,orange,AGONIST
dot,M,CYCLOSPORIN A,300.0mg/kg,3.0d,1.9090722,9.11311,271150858,gray,MODULATOR
dot,M,VALPROIC ACID,1500.0mg/kg,5.0d,2.563359,9.597581,271048078,pink,INHIBITOR
dot,M,FLUOCINOLONE ACETONIDE,2.5mg/kg,1.0d,0.073143095,4.342428,271911075,orange,AGONIST
dot,M,PHENTOLAMINE,44.0mg/kg,3.0d,0.83298755,9.988865,271179937,green,ANTAGONIST
dot,M,FLAVOXATE,1255.0mg/kg,3.0d,4.945563,8.451233,271908547,pink,INHIBITOR
dot,M,FLAVOXATE,1255.0mg/kg,3.0d,4.945563,8.451233,271908547,pink,INHIBITOR
dot,M,FLAVOXATE,1255.0mg/kg,3.0d,4.945563,8.451233,271908547,pink,INHIBITOR
dot,M,PREDNISOLONE,184.0mg/kg,5.0d,5.3823056,8.7270975,270965695,orange,AGONIST
dot,M,ATENOLOL,1000.0mg/kg,3.0d,2.2737665,13.166484,270965687,green,ANTAGONIST
dot,M,CYCLOPHOSPHAMIDE,25.0mg/kg,5.0d,2.2738574,8.5564,270965750,pink,INHIBITOR
dot,M,GUANETHIDINE,132.0mg/kg,1.0d,-0.4792846,12.578587,270961830,cornflowerblue,SUBSTRATE
dot,M,CYCLOSPORIN A,300.0mg/kg,1.0d,1.1771611,9.429843,271150858,gray,MODULATOR
dot,M,CELECOXIB,400.0mg/kg,3.0d,1.5816337,13.0993185,271908416,pink,INHIBITOR
dot,M,ANGIOTENSIN II HUMAN,0.5mg/kg,5.0d,0.7288513,11.831053,271918085,orange,AGONIST
dot,M,VINBLASTINE,0.3mg/kg,5.0d,2.4448667,9.325595,271907750,pink,INHIBITOR
dot,M,CITALOPRAM,90.0mg/kg,3.0d,-0.42740077,12.53593,271763385,pink,INHIBITOR
dot,M,HALOPERIDOL,21.0mg/kg,3.0d,-3.1949852,8.094865,271910483,magenta,INVERSE AGONIST
dot,M,HALOPERIDOL,21.0mg/kg,3.0d,-3.1949852,8.094865,271910483,green,ANTAGONIST
dot,M,DICYCLOMINE,645.0mg/kg,3.0d,4.4473352,11.321636,271908482,green,ANTAGONIST
dot,M,DICYCLOMINE,645.0mg/kg,3.0d,4.4473352,11.321636,271908482,green,ANTAGONIST
dot,M,FLUDROCORTISONE ACETATE,125.0mg/kg,1.0d,0.09143891,4.346725,271908552,orange,AGONIST
dot,M,TETRACAINE,24.0mg/kg,5.0d,1.472153,7.874199,271911969,blue,BLOCKER
dot,M,DYPHYLLINE,3855.0mg/kg,5.0d,-2.9399455,7.8657584,270984043,pink,INHIBITOR
dot,M,DYPHYLLINE,3855.0mg/kg,5.0d,-2.9399455,7.8657584,270984043,pink,INHIBITOR
dot,M,PHENELZINE,27.0mg/kg,3.0d,-3.6073728,9.220034,271053302,pink,INHIBITOR
dot,M,CISAPRIDE,250.0mg/kg,3.0d,1.1610056,7.9098954,271908440,orange,AGONIST
