type,mode,chemical,dose,duration,col0,col1,smi_id,color,action_type
dot,M,ALENDRONIC ACID,138.0mg/kg,1.0d,15.442945,11.895735,271163600,magenta,INHIBITOR
dot,M,AMIODARONE,147.0mg/kg,1.0d,15.300776,11.793452,271908326,yellow,BLOCKER
dot,M,AMIODARONE,147.0mg/kg,3.0d,15.37486,12.404688,271908326,yellow,BLOCKER
dot,M,AMIODARONE,147.0mg/kg,5.0d,17.064402,16.589296,271908326,yellow,BLOCKER
dot,M,ANGIOTENSIN II HUMAN,0.5mg/kg,1.0d,13.022898,13.323592,271918085,blue,AGONIST
dot,M,ANGIOTENSIN II HUMAN,0.5mg/kg,3.0d,15.958944,12.709813,271918085,blue,AGONIST
dot,M,ANGIOTENSIN II HUMAN,0.5mg/kg,5.0d,12.648023,12.232805,271918085,blue,AGONIST
dot,M,ANGIOTENSIN II HUMAN,0.72mg/kg,3.0d,15.953188,15.112774,271918085,blue,AGONIST
dot,M,ANGIOTENSIN II HUMAN,0.72mg/kg,5.0d,14.023718,11.604515,271918085,blue,AGONIST
dot,M,ATENOLOL,1000.0mg/kg,1.0d,15.474959,11.950946,270965687,orange,ANTAGONIST
dot,M,ATENOLOL,1000.0mg/kg,3.0d,14.500926,12.90024,270965687,orange,ANTAGONIST
dot,M,ATENOLOL,1000.0mg/kg,5.0d,17.249992,15.979289,270965687,orange,ANTAGONIST
dot,M,BEZAFIBRATE,617.0mg/kg,1.0d,15.572154,16.112791,271910254,blue,AGONIST
dot,M,BEZAFIBRATE,617.0mg/kg,7.0d,12.12238,14.964611,271910254,blue,AGONIST
dot,M,BUSPIRONE,196.0mg/kg,3.0d,17.93404,15.291921,271908384,maroon,PARTIAL AGONIST
dot,M,BUSPIRONE,196.0mg/kg,5.0d,17.987537,12.9016905,271908384,maroon,PARTIAL AGONIST
dot,M,CELECOXIB,35.0mg/kg,5.0d,12.432767,12.120418,271908416,magenta,INHIBITOR
dot,M,CELECOXIB,400.0mg/kg,3.0d,12.428568,12.1175,271908416,magenta,INHIBITOR
dot,M,CELECOXIB,400.0mg/kg,5.0d,12.4536915,12.137065,271908416,magenta,INHIBITOR
dot,M,CHLORAMBUCIL,4.5mg/kg,3.0d,15.302383,15.685957,270986834,magenta,INHIBITOR
dot,M,CHLORAMBUCIL,4.5mg/kg,5.0d,12.649064,15.029715,270986834,magenta,INHIBITOR
dot,M,CHLORPROPAMIDE,269.0mg/kg,1.0d,15.45202,11.940793,271907246,yellow,BLOCKER
dot,M,CHLORPROPAMIDE,269.0mg/kg,3.0d,15.156997,12.579836,271907246,yellow,BLOCKER
dot,M,CHLORPROPAMIDE,269.0mg/kg,5.0d,15.114617,12.713167,271907246,yellow,BLOCKER
dot,M,CISAPRIDE,250.0mg/kg,3.0d,14.335878,16.080633,271908440,blue,AGONIST
dot,M,CISAPRIDE,250.0mg/kg,5.0d,14.18303,16.037256,271908440,blue,AGONIST
dot,M,CYCLOPHOSPHAMIDE,25.0mg/kg,3.0d,15.774904,17.8624,270965750,magenta,INHIBITOR
dot,M,CYCLOPHOSPHAMIDE,25.0mg/kg,5.0d,15.724121,17.875233,270965750,magenta,INHIBITOR
dot,M,CYCLOSPORIN A,300.0mg/kg,1.0d,14.863265,13.773383,271150858,cyan,MODULATOR
dot,M,CYCLOSPORIN A,300.0mg/kg,3.0d,15.833739,17.01956,271150858,cyan,MODULATOR
dot,M,CYCLOSPORIN A,300.0mg/kg,5.0d,15.823973,17.316957,271150858,cyan,MODULATOR
dot,M,CYCLOSPORIN A,350.0mg/kg,3.0d,15.767846,16.997887,271150858,cyan,MODULATOR
dot,M,CYCLOSPORIN A,350.0mg/kg,5.0d,15.903444,17.172739,271150858,cyan,MODULATOR
dot,M,CYPROHEPTADINE,37.0mg/kg,1.0d,14.439201,14.377768,271908464,orange,ANTAGONIST
dot,M,CYPROHEPTADINE,37.0mg/kg,3.0d,14.397212,14.383118,271908464,orange,ANTAGONIST
dot,M,CYPROHEPTADINE,37.0mg/kg,5.0d,14.539868,14.360071,271908464,orange,ANTAGONIST
dot,M,DEXAMETHASONE,1.0mg/kg,3.0d,17.74119,17.302876,270949613,blue,AGONIST
dot,M,DEXAMETHASONE,1.0mg/kg,5.0d,17.82911,17.305372,270949613,blue,AGONIST
dot,M,DEXFENFLURAMINE,29.0mg/kg,1.0d,15.694131,12.162721,271914018,blue,AGONIST
dot,M,DICYCLOMINE,645.0mg/kg,1.0d,15.58783,12.133212,271908482,orange,ANTAGONIST
dot,M,DICYCLOMINE,645.0mg/kg,1.0d,15.58783,12.133212,271908482,orange,ANTAGONIST
dot,M,DICYCLOMINE,645.0mg/kg,3.0d,14.733314,12.876084,271908482,orange,ANTAGONIST
dot,M,DICYCLOMINE,645.0mg/kg,3.0d,14.733314,12.876084,271908482,orange,ANTAGONIST
dot,M,DICYCLOMINE,645.0mg/kg,5.0d,15.120726,12.707643,271908482,orange,ANTAGONIST
dot,M,DICYCLOMINE,645.0mg/kg,5.0d,15.120726,12.707643,271908482,orange,ANTAGONIST
dot,M,DIGITOXIN,2.75mg/kg,3.0d,14.271238,16.002394,271908486,magenta,INHIBITOR
dot,M,DROPERIDOL,94.0mg/kg,1.0d,16.33999,11.395869,271908505,orange,ANTAGONIST
dot,M,DROPERIDOL,94.0mg/kg,1.0d,16.33999,11.395869,271908505,orange,ANTAGONIST
dot,M,EPIRUBICIN,2.7mg/kg,1.0d,16.813543,16.336872,271908509,magenta,INHIBITOR
dot,M,EPIRUBICIN,2.7mg/kg,1.0d,16.813543,16.336872,271908509,magenta,INHIBITOR
dot,M,EPIRUBICIN,2.7mg/kg,3.0d,15.793899,17.81533,271908509,magenta,INHIBITOR
