type,mode,chemical,dose,duration,col0,col1,smi_id,color,action_type
dot,M,ALENDRONIC ACID,138.0mg/kg,1.0d,9.896669,12.396152,271163600,pink,INHIBITOR
dot,M,ALENDRONIC ACID,138.0mg/kg,3.0d,10.282633,10.614755,271163600,pink,INHIBITOR
dot,M,ALENDRONIC ACID,138.0mg/kg,5.0d,9.835947,12.395331,271163600,pink,INHIBITOR
dot,M,ALFACALCIDOL,0.04mg/kg,1.0d,5.7962227,6.656063,271908317,orange,AGONIST
dot,M,ALFACALCIDOL,0.04mg/kg,3.0d,2.4368818,7.647842,271908317,orange,AGONIST
dot,M,ALFACALCIDOL,0.04mg/kg,5.0d,5.4507656,7.0768857,271908317,orange,AGONIST
dot,M,AMIODARONE,147.0mg/kg,1.0d,9.982622,12.230868,271908326,blue,BLOCKER
dot,M,AMIODARONE,147.0mg/kg,3.0d,9.9391775,12.266924,271908326,blue,BLOCKER
dot,M,AMIODARONE,147.0mg/kg,5.0d,8.010066,12.554922,271908326,blue,BLOCKER
dot,M,AMITRIPTYLINE,160.0mg/kg,3.0d,3.083626,11.50217,271908328,pink,INHIBITOR
dot,M,AMITRIPTYLINE,160.0mg/kg,3.0d,3.083626,11.50217,271908328,pink,INHIBITOR
dot,M,AMITRIPTYLINE,160.0mg/kg,5.0d,3.0197704,11.44356,271908328,pink,INHIBITOR
dot,M,AMITRIPTYLINE,160.0mg/kg,5.0d,3.0197704,11.44356,271908328,pink,INHIBITOR
dot,M,AMITRIPTYLINE,20.0mg/kg,3.0d,3.0116951,11.230696,271908328,pink,INHIBITOR
dot,M,AMITRIPTYLINE,20.0mg/kg,3.0d,3.0116951,11.230696,271908328,pink,INHIBITOR
dot,M,ANGIOTENSIN II HUMAN,0.72mg/kg,1.0d,8.588838,7.360659,271918085,orange,AGONIST
dot,M,ANGIOTENSIN II HUMAN,0.72mg/kg,3.0d,8.811909,7.4507213,271918085,orange,AGONIST
dot,M,ANGIOTENSIN II HUMAN,0.72mg/kg,5.0d,8.656231,7.743213,271918085,orange,AGONIST
dot,M,ATENOLOL,1000.0mg/kg,1.0d,9.42725,11.777572,270965687,green,ANTAGONIST
dot,M,ATENOLOL,1000.0mg/kg,3.0d,9.348724,11.775743,270965687,green,ANTAGONIST
dot,M,ATENOLOL,1000.0mg/kg,5.0d,7.655169,12.432665,270965687,green,ANTAGONIST
dot,M,ATROPINE,94.0mg/kg,3.0d,6.032903,6.488953,270955246,green,ANTAGONIST
dot,M,ATROPINE,94.0mg/kg,3.0d,6.032903,6.488953,270955246,green,ANTAGONIST
dot,M,ATROPINE,94.0mg/kg,3.0d,6.032903,6.488953,270955246,green,ANTAGONIST
dot,M,ATROPINE,94.0mg/kg,5.0d,6.0348334,6.465104,270955246,green,ANTAGONIST
dot,M,ATROPINE,94.0mg/kg,5.0d,6.0348334,6.465104,270955246,green,ANTAGONIST
dot,M,ATROPINE,94.0mg/kg,5.0d,6.0348334,6.465104,270955246,green,ANTAGONIST
dot,M,BACLOFEN,19.0mg/kg,3.0d,3.569067,11.385684,271178290,orange,AGONIST
dot,M,BACLOFEN,19.0mg/kg,5.0d,3.5895402,11.037723,271178290,orange,AGONIST
dot,M,BACLOFEN,6.6mg/kg,3.0d,2.8416824,11.541782,271178290,orange,AGONIST
dot,M,BACLOFEN,6.6mg/kg,5.0d,2.5704646,9.21643,271178290,orange,AGONIST
dot,M,BEZAFIBRATE,617.0mg/kg,1.0d,3.618075,9.710896,271910254,orange,AGONIST
dot,M,BEZAFIBRATE,617.0mg/kg,7.0d,3.364971,9.736789,271910254,orange,AGONIST
dot,M,BUSPIRONE,196.0mg/kg,1.0d,3.7404213,8.073997,271908384,khaki,PARTIAL AGONIST
dot,M,BUSPIRONE,196.0mg/kg,3.0d,3.9382763,9.363411,271908384,khaki,PARTIAL AGONIST
dot,M,BUSPIRONE,196.0mg/kg,5.0d,4.9629097,11.170541,271908384,khaki,PARTIAL AGONIST
dot,M,CAFFEINE,93.0mg/kg,3.0d,5.996628,9.118215,271091373,green,ANTAGONIST
dot,M,CAFFEINE,93.0mg/kg,5.0d,9.854464,9.999163,271091373,green,ANTAGONIST
dot,M,CALCITRIOL,0.04mg/kg,1.0d,9.914812,10.004998,271908394,orange,AGONIST
dot,M,CALCITRIOL,0.04mg/kg,3.0d,9.955225,8.1041765,271908394,orange,AGONIST
dot,M,CALCITRIOL,0.04mg/kg,5.0d,9.475046,8.0424795,271908394,orange,AGONIST
dot,M,CARVEDILOL,20.0mg/kg,0.25d,3.7856617,7.742487,271908408,green,ANTAGONIST
dot,M,CARVEDILOL,20.0mg/kg,0.25d,3.7856617,7.742487,271908408,green,ANTAGONIST
dot,M,CARVEDILOL,20.0mg/kg,1.0d,3.5544233,6.7721395,271908408,green,ANTAGONIST
dot,M,CARVEDILOL,20.0mg/kg,1.0d,3.5544233,6.7721395,271908408,green,ANTAGONIST
dot,M,CARVEDILOL,2000.0mg/kg,1.0d,2.674819,9.130401,271908408,green,ANTAGONIST
dot,M,CARVEDILOL,2000.0mg/kg,1.0d,2.674819,9.130401,271908408,green,ANTAGONIST
dot,M,CARVEDILOL,2000.0mg/kg,3.0d,5.997538,12.3114395,271908408,green,ANTAGONIST
dot,M,CARVEDILOL,2000.0mg/kg,3.0d,5.997538,12.3114395,271908408,green,ANTAGONIST
dot,M,CARVEDILOL,2000.0mg/kg,5.0d,6.3300333,12.5731125,271908408,green,ANTAGONIST
dot,M,CARVEDILOL,2000.0mg/kg,5.0d,6.3300333,12.5731125,271908408,green,ANTAGONIST
dot,M,CELECOXIB,35.0mg/kg,5.0d,9.964176,11.330582,271908416,pink,INHIBITOR
dot,M,CELECOXIB,400.0mg/kg,3.0d,9.703295,11.682807,271908416,pink,INHIBITOR
dot,M,CELECOXIB,400.0mg/kg,5.0d,9.784163,11.709542,271908416,pink,INHIBITOR
dot,M,CHLORAMBUCIL,4.5mg/kg,3.0d,5.69884,6.789249,270986834,pink,INHIBITOR
dot,M,CHLORAMBUCIL,4.5mg/kg,5.0d,5.7171817,6.594733,270986834,pink,INHIBITOR
dot,M,CHLORPROPAMIDE,269.0mg/kg,1.0d,9.812877,11.266557,271907246,blue,BLOCKER
dot,M,CHLORPROPAMIDE,269.0mg/kg,3.0d,8.766062,12.167043,271907246,blue,BLOCKER
dot,M,CHLORPROPAMIDE,269.0mg/kg,5.0d,8.646867,12.234109,271907246,blue,BLOCKER
dot,M,CISAPRIDE,250.0mg/kg,3.0d,4.7330017,11.509054,271908440,orange,AGONIST
dot,M,CISAPRIDE,250.0mg/kg,5.0d,4.3721094,10.490266,271908440,orange,AGONIST
