type,mode,chemical,dose,duration,col0,col1,smi_id,color,action_type
dot,M,ANGIOTENSIN II HUMAN,0.72mg/kg,3.0d,11.28632,4.829486,271918085,orange,AGONIST
dot,M,METOPROLOL,120.0mg/kg,3.0d,12.33867,4.867171,270965703,green,ANTAGONIST
dot,M,VALPROIC ACID,1500.0mg/kg,3.0d,10.480315,8.065295,271048078,pink,INHIBITOR
dot,M,CALCITRIOL,0.04mg/kg,5.0d,10.076279,6.4674983,271908394,orange,AGONIST
dot,M,DEXAMETHASONE,1.0mg/kg,3.0d,12.086467,12.305583,270949613,orange,AGONIST
dot,M,TERFENADINE,750.0mg/kg,3.0d,14.995251,3.6315384,271908820,green,ANTAGONIST
dot,M,PHENACEMIDE,400.0mg/kg,3.0d,13.114126,3.793124,271908732,blue,BLOCKER
dot,M,HYDRALAZINE,280.0mg/kg,5.0d,12.250858,9.742286,271908582,black,NULL
dot,M,ESMOLOL,27.0mg/kg,1.0d,14.675473,8.205874,271908515,green,ANTAGONIST
dot,M,ESMOLOL,27.0mg/kg,1.0d,14.675473,8.205874,271908515,green,ANTAGONIST
dot,M,RANITIDINE,1500.0mg/kg,5.0d,13.4365015,8.076161,270965721,green,ANTAGONIST
dot,M,ETHOSUXIMIDE,1200.0mg/kg,1.0d,14.9205265,4.213308,271908528,blue,BLOCKER
dot,M,OLANZAPINE,23.0mg/kg,1.0d,14.966196,4.3908963,271908711,green,ANTAGONIST
dot,M,OLANZAPINE,23.0mg/kg,1.0d,14.966196,4.3908963,271908711,green,ANTAGONIST
dot,M,OLANZAPINE,23.0mg/kg,1.0d,14.966196,4.3908963,271908711,green,ANTAGONIST
dot,M,MEXILETINE,350.0mg/kg,1.0d,15.861193,6.846675,271183680,blue,BLOCKER
dot,M,FLUDROCORTISONE ACETATE,125.0mg/kg,3.0d,11.544427,11.274187,271908552,orange,AGONIST
dot,M,ROFLUMILAST,17.0mg/kg,1.0d,10.250881,9.148961,271912127,pink,INHIBITOR
dot,M,TETRACAINE,24.0mg/kg,1.0d,15.010316,9.31658,271911969,blue,BLOCKER
dot,M,LEVOFLOXACIN,739.0mg/kg,3.0d,15.353088,8.309835,270965760,pink,INHIBITOR
dot,M,CHLORAMBUCIL,4.5mg/kg,5.0d,15.273546,9.1126175,270986834,pink,INHIBITOR
dot,M,TRIHEXYPHENIDYL,588.0mg/kg,1.0d,15.689695,7.27437,271641211,green,ANTAGONIST
dot,M,DEXFENFLURAMINE,29.0mg/kg,3.0d,13.712396,2.5732071,271914018,orange,AGONIST
dot,M,ALFACALCIDOL,0.04mg/kg,1.0d,15.687006,7.4613423,271908317,orange,AGONIST
dot,M,CHLORAMBUCIL,4.5mg/kg,3.0d,11.593358,5.2693777,270986834,pink,INHIBITOR
dot,M,CISAPRIDE,250.0mg/kg,5.0d,9.855141,8.839845,271908440,orange,AGONIST
dot,M,CYCLOSPORIN A,300.0mg/kg,3.0d,10.377106,6.6014385,271150858,gray,MODULATOR
dot,M,VALPROIC ACID,1500.0mg/kg,5.0d,10.600313,6.5009866,271048078,pink,INHIBITOR
dot,M,FLUOCINOLONE ACETONIDE,2.5mg/kg,1.0d,8.1077795,7.432204,271911075,orange,AGONIST
dot,M,PHENTOLAMINE,44.0mg/kg,3.0d,11.229505,4.464425,271179937,green,ANTAGONIST
dot,M,FLAVOXATE,1255.0mg/kg,3.0d,11.040861,10.826621,271908547,pink,INHIBITOR
dot,M,FLAVOXATE,1255.0mg/kg,3.0d,11.040861,10.826621,271908547,pink,INHIBITOR
dot,M,FLAVOXATE,1255.0mg/kg,3.0d,11.040861,10.826621,271908547,pink,INHIBITOR
dot,M,PREDNISOLONE,184.0mg/kg,5.0d,11.532928,11.288339,270965695,orange,AGONIST
dot,M,ATENOLOL,1000.0mg/kg,3.0d,11.978218,3.1402557,270965687,green,ANTAGONIST
dot,M,CYCLOPHOSPHAMIDE,25.0mg/kg,5.0d,10.525536,7.3474,270965750,pink,INHIBITOR
dot,M,GUANETHIDINE,132.0mg/kg,1.0d,12.766508,5.754777,270961830,cornflowerblue,SUBSTRATE
dot,M,CYCLOSPORIN A,300.0mg/kg,1.0d,11.949441,6.17007,271150858,gray,MODULATOR
dot,M,CELECOXIB,400.0mg/kg,3.0d,11.729384,3.8909364,271908416,pink,INHIBITOR
dot,M,ANGIOTENSIN II HUMAN,0.5mg/kg,5.0d,12.030755,4.433627,271918085,orange,AGONIST
dot,M,VINBLASTINE,0.3mg/kg,5.0d,10.4610815,6.6665606,271907750,pink,INHIBITOR
dot,M,CITALOPRAM,90.0mg/kg,3.0d,12.692699,5.6744843,271763385,pink,INHIBITOR
dot,M,HALOPERIDOL,21.0mg/kg,3.0d,14.994469,9.269774,271910483,magenta,INVERSE AGONIST
dot,M,HALOPERIDOL,21.0mg/kg,3.0d,14.994469,9.269774,271910483,green,ANTAGONIST
dot,M,DICYCLOMINE,645.0mg/kg,3.0d,13.581363,2.3452137,271908482,green,ANTAGONIST
dot,M,DICYCLOMINE,645.0mg/kg,3.0d,13.581363,2.3452137,271908482,green,ANTAGONIST
dot,M,FLUDROCORTISONE ACETATE,125.0mg/kg,1.0d,8.204393,7.3901043,271908552,orange,AGONIST
dot,M,TETRACAINE,24.0mg/kg,5.0d,10.109616,8.964468,271911969,blue,BLOCKER
dot,M,DYPHYLLINE,3855.0mg/kg,5.0d,14.785046,9.430083,270984043,pink,INHIBITOR
dot,M,DYPHYLLINE,3855.0mg/kg,5.0d,14.785046,9.430083,270984043,pink,INHIBITOR
dot,M,PHENELZINE,27.0mg/kg,3.0d,14.719711,7.865757,271053302,pink,INHIBITOR
dot,M,CISAPRIDE,250.0mg/kg,3.0d,11.819391,7.2746835,271908440,orange,AGONIST
dot,M,GUANETHIDINE,132.0mg/kg,3.0d,12.588447,3.7168267,270961830,cornflowerblue,SUBSTRATE
dot,M,MAPROTILINE,380.0mg/kg,5.0d,13.365594,2.706434,270965938,pink,INHIBITOR
dot,M,IPRONIAZID,46.0mg/kg,5.0d,11.320759,9.969199,271908607,pink,INHIBITOR
dot,M,PAROXETINE,104.0mg/kg,5.0d,14.207047,8.023162,271429212,pink,INHIBITOR
dot,M,PREDNISOLONE,184.0mg/kg,1.0d,8.131787,7.388786,270965695,orange,AGONIST
dot,M,CYCLOSPORIN A,300.0mg/kg,5.0d,10.234239,6.609829,271150858,gray,MODULATOR
dot,M,RANITIDINE,1500.0mg/kg,1.0d,14.822912,7.8991566,270965721,green,ANTAGONIST
dot,M,STAVUDINE,1400.0mg/kg,5.0d,13.063594,10.325057,271908882,pink,INHIBITOR
dot,M,IFOSFAMIDE,143.0mg/kg,3.0d,10.858775,6.3701406,270965755,pink,INHIBITOR
dot,M,ALENDRONIC ACID,138.0mg/kg,3.0d,12.039717,3.1072297,271163600,pink,INHIBITOR
dot,M,KETAMINE,30.0mg/kg,3.0d,11.404102,7.341771,270965765,darkgreen,NEGATIVE ALLOSTERIC MODULATOR
dot,M,PRALIDOXIME CHLORIDE,48.0mg/kg,1.0d,11.817994,7.5281096,271908758,red,ACTIVATOR
dot,M,PREDNISONE,68.0mg/kg,5.0d,11.451515,10.770868,270965715,orange,AGONIST
dot,M,OXYBUTYNIN,230.0mg/kg,3.0d,15.375223,9.018287,270965748,green,ANTAGONIST
dot,M,OXYBUTYNIN,230.0mg/kg,3.0d,15.375223,9.018287,270965748,green,ANTAGONIST
dot,M,DEXAMETHASONE,1.0mg/kg,5.0d,12.086348,12.285133,270949613,orange,AGONIST
dot,M,ROFECOXIB,775.0mg/kg,3.0d,12.518794,6.8580427,271908788,pink,INHIBITOR
dot,M,CELECOXIB,400.0mg/kg,5.0d,11.8752,4.2514567,271908416,pink,INHIBITOR
dot,M,TRIMETHADIONE,535.0mg/kg,5.0d,13.025957,3.0581048,271907733,blue,BLOCKER
dot,M,ALENDRONIC ACID,138.0mg/kg,1.0d,12.757958,3.247632,271163600,pink,INHIBITOR
dot,M,THEOPHYLLINE,225.0mg/kg,3.0d,9.93721,6.0358953,271073518,green,ANTAGONIST
dot,M,THEOPHYLLINE,225.0mg/kg,3.0d,9.93721,6.0358953,271073518,pink,INHIBITOR
dot,M,THEOPHYLLINE,225.0mg/kg,3.0d,9.93721,6.0358953,271073518,pink,INHIBITOR
dot,M,GALLAMINE TRIETHIODIDE,2.5mg/kg,3.0d,15.109049,8.854734,271908564,green,ANTAGONIST
dot,M,ESMOLOL,27.0mg/kg,5.0d,11.741888,7.47444,271908515,green,ANTAGONIST
dot,M,ESMOLOL,27.0mg/kg,5.0d,11.741888,7.47444,271908515,green,ANTAGONIST
dot,M,SPIRONOLACTONE,300.0mg/kg,1.0d,15.332814,8.903132,271910487,green,ANTAGONIST
dot,M,ETHOSUXIMIDE,1200.0mg/kg,5.0d,12.111543,10.103152,271908528,blue,BLOCKER
dot,M,TERFENADINE,750.0mg/kg,5.0d,11.657019,9.140911,271908820,green,ANTAGONIST
dot,M,BUSPIRONE,196.0mg/kg,1.0d,14.834959,3.9367223,271908384,khaki,PARTIAL AGONIST
dot,M,PHENTOLAMINE,44.0mg/kg,1.0d,12.752587,6.358756,271179937,green,ANTAGONIST
dot,M,HYDROCORTISONE,56.0mg/kg,1.0d,8.192704,7.3916354,270950727,orange,AGONIST
dot,M,METOPROLOL,120.0mg/kg,1.0d,12.7389145,5.4271307,270965703,green,ANTAGONIST
dot,M,PAROXETINE,104.0mg/kg,3.0d,12.766311,6.9554124,271429212,pink,INHIBITOR
dot,M,SPIRONOLACTONE,300.0mg/kg,5.0d,11.536604,9.900535,271910487,green,ANTAGONIST
dot,M,VALDECOXIB,404.0mg/kg,5.0d,13.699046,3.7626514,271912153,pink,INHIBITOR
dot,M,MEXILETINE,350.0mg/kg,3.0d,14.952611,9.214112,271183680,blue,BLOCKER
dot,M,FLUDROCORTISONE ACETATE,125.0mg/kg,5.0d,11.73871,11.609592,271908552,orange,AGONIST
dot,M,FENOFIBRATE,215.0mg/kg,3.0d,12.598042,5.3660855,271439486,orange,AGONIST
dot,M,FLUPHENAZINE,22.0mg/kg,3.0d,10.788502,10.17693,271908555,green,ANTAGONIST
dot,M,CYCLOPHOSPHAMIDE,25.0mg/kg,3.0d,10.679671,7.062899,270965750,pink,INHIBITOR
dot,M,ROFLUMILAST,17.0mg/kg,3.0d,8.852549,6.1383567,271912127,pink,INHIBITOR
dot,M,ERGOCALCIFEROL,15.0mg/kg,5.0d,14.936816,9.017728,271465989,orange,AGONIST
dot,M,IFOSFAMIDE,143.0mg/kg,5.0d,10.78374,6.329106,270965755,pink,INHIBITOR
dot,M,GABAPENTIN,2500.0mg/kg,5.0d,11.670567,7.9436493,271177068,gray,MODULATOR
dot,M,GABAPENTIN,2500.0mg/kg,3.0d,12.773374,7.985718,271177068,gray,MODULATOR
dot,M,FLAVOXATE,1255.0mg/kg,5.0d,10.615066,10.537566,271908547,pink,INHIBITOR
dot,M,FLAVOXATE,1255.0mg/kg,5.0d,10.615066,10.537566,271908547,pink,INHIBITOR
dot,M,FLAVOXATE,1255.0mg/kg,5.0d,10.615066,10.537566,271908547,pink,INHIBITOR
dot,M,DIISOPROPYL FLUOROPHOSPHATE,3.75mg/kg,3.0d,11.44611,9.9073,271911071,pink,INHIBITOR
dot,M,TRIHEXYPHENIDYL,588.0mg/kg,3.0d,10.974445,11.122971,271641211,green,ANTAGONIST
dot,M,ATENOLOL,1000.0mg/kg,5.0d,13.221081,2.2189991,270965687,green,ANTAGONIST
dot,M,SPIRONOLACTONE,300.0mg/kg,3.0d,14.856497,8.867762,271910487,green,ANTAGONIST
dot,M,DIGOXIN,11.0mg/kg,5.0d,11.347478,7.676358,271345630,pink,INHIBITOR
dot,M,DICYCLOMINE,645.0mg/kg,5.0d,11.276264,6.2759676,271908482,green,ANTAGONIST
dot,M,DICYCLOMINE,645.0mg/kg,5.0d,11.276264,6.2759676,271908482,green,ANTAGONIST
dot,M,ETOPOSIDE,188.0mg/kg,1.0d,15.242078,8.055081,271908537,pink,INHIBITOR
dot,M,RANITIDINE,1500.0mg/kg,3.0d,13.438321,8.083398,270965721,green,ANTAGONIST
dot,M,ANGIOTENSIN II HUMAN,0.72mg/kg,5.0d,11.5969925,4.927568,271918085,orange,AGONIST
dot,M,FAMOTIDINE,1200.0mg/kg,3.0d,13.410715,8.75235,271908541,green,ANTAGONIST
dot,M,LIDOCAINE,71.0mg/kg,5.0d,15.003264,6.27041,271051944,blue,BLOCKER
dot,M,METOPROLOL,1200.0mg/kg,1.0d,15.814424,6.960814,270965703,green,ANTAGONIST
dot,M,DROPERIDOL,94.0mg/kg,3.0d,13.82757,2.4839482,271908505,green,ANTAGONIST
dot,M,DROPERIDOL,94.0mg/kg,3.0d,13.82757,2.4839482,271908505,green,ANTAGONIST
dot,M,TIAPRIDE,1200.0mg/kg,5.0d,11.616915,10.739829,271908828,green,ANTAGONIST
dot,M,TIAPRIDE,1200.0mg/kg,5.0d,11.616915,10.739829,271908828,green,ANTAGONIST
dot,M,CHLORPROPAMIDE,269.0mg/kg,5.0d,13.312568,2.2620265,271907246,blue,BLOCKER
dot,M,PHENTOLAMINE,44.0mg/kg,5.0d,10.980419,8.688656,271179937,green,ANTAGONIST
dot,M,HALOPERIDOL,21.0mg/kg,5.0d,11.961225,7.0959764,271910483,magenta,INVERSE AGONIST
dot,M,HALOPERIDOL,21.0mg/kg,5.0d,11.961225,7.0959764,271910483,green,ANTAGONIST
dot,M,METOPROLOL,1200.0mg/kg,3.0d,14.499582,9.081931,270965703,green,ANTAGONIST
dot,M,TERBUTALINE,130.0mg/kg,3.0d,9.899895,5.4720926,271637443,orange,AGONIST
dot,M,DIISOPROPYL FLUOROPHOSPHATE,3.75mg/kg,5.0d,10.535395,9.060621,271911071,pink,INHIBITOR
dot,M,LIDOCAINE,71.0mg/kg,1.0d,15.443237,7.3392973,271051944,blue,BLOCKER
dot,M,DEXFENFLURAMINE,29.0mg/kg,1.0d,13.7071,2.3490517,271914018,orange,AGONIST
dot,M,ROFLUMILAST,17.0mg/kg,4.0d,8.822383,6.1578684,271912127,pink,INHIBITOR
dot,M,MITOXANTRONE,2.0mg/kg,3.0d,10.507653,7.671604,271637429,pink,INHIBITOR
dot,M,MITOXANTRONE,2.0mg/kg,3.0d,10.507653,7.671604,271637429,pink,INHIBITOR
dot,M,TAMOXIFEN,64.0mg/kg,3.0d,12.035372,5.434589,271763610,gray,MODULATOR
dot,M,DROPERIDOL,94.0mg/kg,1.0d,13.600825,3.2030764,271908505,green,ANTAGONIST
dot,M,DROPERIDOL,94.0mg/kg,1.0d,13.600825,3.2030764,271908505,green,ANTAGONIST
dot,M,MITOXANTRONE,2.0mg/kg,5.0d,10.554754,7.457358,271637429,pink,INHIBITOR
dot,M,MITOXANTRONE,2.0mg/kg,5.0d,10.554754,7.457358,271637429,pink,INHIBITOR
dot,M,DIPHENIDOL,300.0mg/kg,1.0d,15.503874,7.9813895,271058892,green,ANTAGONIST
dot,M,ATENOLOL,1000.0mg/kg,1.0d,12.140333,3.0630572,270965687,green,ANTAGONIST
dot,M,THEOPHYLLINE,225.0mg/kg,1.0d,13.6389065,5.8749804,271073518,green,ANTAGONIST
dot,M,THEOPHYLLINE,225.0mg/kg,1.0d,13.6389065,5.8749804,271073518,pink,INHIBITOR
dot,M,THEOPHYLLINE,225.0mg/kg,1.0d,13.6389065,5.8749804,271073518,pink,INHIBITOR
dot,M,AMIODARONE,147.0mg/kg,1.0d,12.5644245,3.1398368,271908326,blue,BLOCKER
dot,M,LIDOCAINE,71.0mg/kg,3.0d,13.115971,6.8595786,271051944,blue,BLOCKER
dot,M,LEVOFLOXACIN,739.0mg/kg,5.0d,12.855814,8.442259,270965760,pink,INHIBITOR
dot,M,THEOPHYLLINE,225.0mg/kg,5.0d,12.818983,8.302066,271073518,green,ANTAGONIST
dot,M,THEOPHYLLINE,225.0mg/kg,5.0d,12.818983,8.302066,271073518,pink,INHIBITOR
dot,M,THEOPHYLLINE,225.0mg/kg,5.0d,12.818983,8.302066,271073518,pink,INHIBITOR
dot,M,DICYCLOMINE,645.0mg/kg,1.0d,13.251295,3.0817966,271908482,green,ANTAGONIST
dot,M,DICYCLOMINE,645.0mg/kg,1.0d,13.251295,3.0817966,271908482,green,ANTAGONIST
dot,M,MAPROTILINE,380.0mg/kg,3.0d,13.495807,2.7730856,270965938,pink,INHIBITOR
dot,M,DEXFENFLURAMINE,29.0mg/kg,5.0d,13.320133,2.7396324,271914018,orange,AGONIST
dot,M,NEVIRAPINE,200.0mg/kg,5.0d,15.24781,5.320843,271910304,pink,INHIBITOR
dot,M,CHLORPROPAMIDE,269.0mg/kg,3.0d,13.291004,2.205925,271907246,blue,BLOCKER
dot,M,AMIODARONE,147.0mg/kg,3.0d,13.287277,2.9523728,271908326,blue,BLOCKER
dot,M,GUANETHIDINE,132.0mg/kg,5.0d,12.5696945,3.652636,270961830,cornflowerblue,SUBSTRATE
dot,M,KETAMINE,30.0mg/kg,1.0d,13.2292795,7.245454,270965765,darkgreen,NEGATIVE ALLOSTERIC MODULATOR
dot,M,HYDROCORTISONE,56.0mg/kg,3.0d,12.044555,12.108831,270950727,orange,AGONIST
dot,M,DIGOXIN,11.0mg/kg,1.0d,14.894463,7.8991094,271345630,pink,INHIBITOR
dot,M,STAVUDINE,1400.0mg/kg,3.0d,15.01247,5.029495,271908882,pink,INHIBITOR
dot,M,TACROLIMUS,134.0mg/kg,3.0d,12.757419,8.272962,271639354,pink,INHIBITOR
dot,M,SULPIRIDE,1000.0mg/kg,3.0d,15.199233,9.094803,271912017,green,ANTAGONIST
dot,M,SULPIRIDE,1000.0mg/kg,3.0d,15.199233,9.094803,271912017,orange,AGONIST
dot,M,ALFACALCIDOL,0.04mg/kg,5.0d,13.748216,9.470607,271908317,orange,AGONIST
dot,M,TRIMETHADIONE,535.0mg/kg,3.0d,12.827087,3.5415695,271907733,blue,BLOCKER
dot,M,ETOPOSIDE,188.0mg/kg,5.0d,10.7566,6.7442117,271908537,pink,INHIBITOR
dot,M,TOLAZAMIDE,1500.0mg/kg,3.0d,12.164282,11.2045555,271907715,blue,BLOCKER
dot,M,BUSPIRONE,196.0mg/kg,3.0d,14.086677,9.197808,271908384,khaki,PARTIAL AGONIST
dot,M,HYDROCORTISONE,56.0mg/kg,5.0d,11.995578,11.998933,270950727,orange,AGONIST
dot,M,PROCAINAMIDE,755.0mg/kg,3.0d,12.115808,3.4058678,271908764,blue,BLOCKER
dot,M,SULPIRIDE,1000.0mg/kg,1.0d,15.288969,8.593958,271912017,green,ANTAGONIST
dot,M,SULPIRIDE,1000.0mg/kg,1.0d,15.288969,8.593958,271912017,orange,AGONIST
dot,M,DIGOXIN,11.0mg/kg,3.0d,12.058146,7.888479,271345630,pink,INHIBITOR
dot,M,VINBLASTINE,0.3mg/kg,3.0d,10.473361,7.7494454,271907750,pink,INHIBITOR
