type,mode,chemical,dose,duration,col0,col1,smi_id,color,action_type
dot,M,CISAPRIDE,250.0mg/kg,0.25d,8.6062155,1.9991075,271908440,orange,AGONIST
dot,M,ONDANSETRON,84.0mg/kg,0.25d,9.197209,1.9638841,271183927,green,ANTAGONIST
triangle,P,SECOBARBITAL,20.0mg/kg,0.25d,7.326332,4.986981,270965701,maroon,POSITIVE ALLOSTERIC MODULATOR
triangle,P,CLOPIDOGREL,400.0mg/kg,0.25d,8.389236,4.345134,271146295,green,ANTAGONIST
triangle,P,MESTRANOL,250.0mg/kg,5.0d,8.812029,3.395316,271644694,orange,AGONIST
triangle,P,DIGOXIN,0.26mg/kg,0.25d,6.106263,5.9811125,271345630,pink,INHIBITOR
triangle,P,FLUOCINOLONE ACETONIDE,2.5mg/kg,5.0d,8.025392,3.6430268,271911075,orange,AGONIST
triangle,P,BUTENAFINE,150.0mg/kg,3.0d,8.34443,6.0861588,271911067,pink,INHIBITOR
triangle,P,CYPROTERONE ACETATE,2500.0mg/kg,1.0d,6.924545,4.1399894,271907265,green,ANTAGONIST
triangle,P,CYPROTERONE ACETATE,2500.0mg/kg,1.0d,6.924545,4.1399894,271907265,green,ANTAGONIST
triangle,P,CYPROTERONE ACETATE,2500.0mg/kg,1.0d,6.924545,4.1399894,271907265,orange,AGONIST
triangle,P,BACLOFEN,6.6mg/kg,3.0d,6.4033375,4.778982,271178290,orange,AGONIST
triangle,P,ANGIOTENSIN II HUMAN,0.72mg/kg,1.0d,9.173717,3.6336818,271918085,orange,AGONIST
triangle,P,TOBRAMYCIN,40.0mg/kg,28.0d,9.58592,5.0313144,271148497,pink,INHIBITOR
triangle,P,ZOMEPIRAC,11.0mg/kg,1.0d,7.56032,3.5170784,271081252,black,NULL
triangle,P,VENLAFAXINE,320.0mg/kg,1.0d,8.025409,5.030238,271440007,pink,INHIBITOR
triangle,P,VENLAFAXINE,320.0mg/kg,1.0d,8.025409,5.030238,271440007,pink,INHIBITOR
triangle,P,CYTARABINE,487.0mg/kg,1.0d,5.3626127,4.147636,271171071,pink,INHIBITOR
triangle,P,CYTARABINE,487.0mg/kg,1.0d,5.3626127,4.147636,271171071,pink,INHIBITOR
triangle,P,CYTARABINE,487.0mg/kg,1.0d,5.3626127,4.147636,271171071,pink,INHIBITOR
triangle,P,CELECOXIB,400.0mg/kg,5.0d,6.659601,2.4129596,271908416,pink,INHIBITOR
triangle,P,ROFECOXIB,1550.0mg/kg,5.0d,8.428117,2.0854943,271908788,pink,INHIBITOR
triangle,P,BACLOFEN,19.0mg/kg,5.0d,6.0660486,5.498027,271178290,orange,AGONIST
triangle,P,LEFLUNOMIDE,60.0mg/kg,5.0d,9.949362,2.7979789,271908618,pink,INHIBITOR
triangle,P,DROPERIDOL,94.0mg/kg,5.0d,7.7362623,2.8082619,271908505,green,ANTAGONIST
triangle,P,DROPERIDOL,94.0mg/kg,5.0d,7.7362623,2.8082619,271908505,green,ANTAGONIST
triangle,P,PROGESTERONE,11.3mg/kg,3.0d,5.602878,5.0257535,271644697,orange,AGONIST
triangle,P,FAMOTIDINE,1200.0mg/kg,1.0d,8.196793,4.3406167,271908541,green,ANTAGONIST
triangle,P,CAPTOPRIL,1750.0mg/kg,1.0d,6.041223,4.316616,270965713,pink,INHIBITOR
triangle,P,LINCOMYCIN,1200.0mg/kg,3.0d,9.697325,6.007706,270965672,pink,INHIBITOR
triangle,P,AMIKACIN,82.0mg/kg,5.0d,6.196201,4.247983,271908324,pink,INHIBITOR
triangle,P,LISINOPRIL,2000.0mg/kg,5.0d,8.504322,3.7037938,270960294,pink,INHIBITOR
triangle,P,IFOSFAMIDE,143.0mg/kg,3.0d,8.474448,5.4244924,270965755,pink,INHIBITOR
triangle,P,AMANTADINE,220.0mg/kg,3.0d,7.790635,4.383034,270965699,green,ANTAGONIST
triangle,P,AMANTADINE,220.0mg/kg,3.0d,7.790635,4.383034,270965699,pink,INHIBITOR
triangle,P,DICLOFENAC,3.5mg/kg,5.0d,7.37764,3.9215038,271532305,pink,INHIBITOR
triangle,P,MITOMYCIN C,0.5mg/kg,3.0d,7.2608337,3.0842533,271907514,pink,INHIBITOR
triangle,P,DICLOFENAC,10.0mg/kg,0.25d,6.919388,4.121092,271532305,pink,INHIBITOR
triangle,P,ETHACRYNIC ACID,125.0mg/kg,1.0d,8.204596,3.7312906,271082047,pink,INHIBITOR
triangle,P,OXAPROZIN,1500.0mg/kg,5.0d,6.69017,4.8582425,271054076,pink,INHIBITOR
triangle,P,TOBRAMYCIN,40.0mg/kg,14.0d,8.703381,3.199074,271148497,pink,INHIBITOR
triangle,P,PHENELZINE,27.0mg/kg,1.0d,8.432512,3.3771152,271053302,pink,INHIBITOR
triangle,P,METHIMAZOLE,100.0mg/kg,1.0d,7.5708876,2.1443543,271907468,pink,INHIBITOR
triangle,P,CLINDAMYCIN,161.0mg/kg,1.0d,8.914983,5.1054735,271348801,pink,INHIBITOR
triangle,P,KETOCONAZOLE,114.0mg/kg,3.0d,6.5422363,5.445936,271763056,pink,INHIBITOR
triangle,P,ROSIGLITAZONE,1800.0mg/kg,3.0d,8.726137,4.7383466,271910733,orange,AGONIST
triangle,P,CHOLIC ACID,1402.0mg/kg,1.0d,9.635351,5.8969245,271466069,black,NULL
triangle,P,SOTALOL,2000.0mg/kg,3.0d,6.539246,5.839971,270965787,green,ANTAGONIST
triangle,P,SOTALOL,2000.0mg/kg,3.0d,6.539246,5.839971,270965787,green,ANTAGONIST
triangle,P,SOTALOL,2000.0mg/kg,3.0d,6.539246,5.839971,270965787,blue,BLOCKER
triangle,P,LIDOCAINE,71.0mg/kg,5.0d,7.8969626,3.8934202,271051944,blue,BLOCKER
triangle,P,BITHIONOL,333.0mg/kg,0.25d,7.0317574,4.502528,271907709,black,NULL
triangle,P,ETHYLENE GLYCOL,3525.0mg/kg,3.0d,8.936684,5.863665,271077373,black,NULL
triangle,P,TAMOXIFEN,2.5mg/kg,0.25d,7.980911,4.7555847,271763610,gray,MODULATOR
triangle,P,AMITRIPTYLINE,20.0mg/kg,3.0d,6.019968,4.7917333,271908328,pink,INHIBITOR
triangle,P,AMITRIPTYLINE,20.0mg/kg,3.0d,6.019968,4.7917333,271908328,pink,INHIBITOR
triangle,P,CIPROFLOXACIN,72.0mg/kg,0.25d,10.507418,3.222566,270995020,pink,INHIBITOR
triangle,P,CIPROFLOXACIN,72.0mg/kg,0.25d,10.507418,3.222566,270995020,pink,INHIBITOR
triangle,P,TRIHEXYPHENIDYL,588.0mg/kg,1.0d,7.195282,5.2528186,271641211,green,ANTAGONIST
triangle,P,TERFENADINE,750.0mg/kg,3.0d,6.2977443,4.772724,271908820,green,ANTAGONIST
triangle,P,LEFLUNOMIDE,30.0mg/kg,0.25d,5.0606704,4.685262,271908618,pink,INHIBITOR
triangle,P,PRIMIDONE,750.0mg/kg,5.0d,9.896002,3.4813635,271174211,maroon,POSITIVE ALLOSTERIC MODULATOR
triangle,P,PRIMIDONE,750.0mg/kg,5.0d,9.896002,3.4813635,271174211,blue,BLOCKER
triangle,P,AMIKACIN,20.0mg/kg,0.25d,6.0793576,3.2576268,271908324,pink,INHIBITOR
triangle,P,SIMVASTATIN,1200.0mg/kg,3.0d,6.1169252,3.6638434,270965883,pink,INHIBITOR
triangle,P,MEFENAMIC ACID,93.0mg/kg,5.0d,8.617037,5.672964,271908632,pink,INHIBITOR
triangle,P,AZITHROMYCIN,50.0mg/kg,5.0d,8.199974,4.300712,270965676,pink,INHIBITOR
triangle,P,ISONIAZID,79.0mg/kg,3.0d,7.3005185,3.2184498,271070323,pink,INHIBITOR
triangle,P,CHLORMADINONE ACETATE,2000.0mg/kg,5.0d,9.710425,5.9718637,271907216,gray,MODULATOR
triangle,P,DICUMAROL,13.0mg/kg,1.0d,6.184414,2.641133,271907888,pink,INHIBITOR
triangle,P,PROGESTERONE,164.0mg/kg,1.0d,5.4270334,3.6161098,271644697,orange,AGONIST
triangle,P,LEVAMISOLE,120.0mg/kg,5.0d,7.5864587,6.13595,270958605,orange,AGONIST
triangle,P,GLIMEPIRIDE,2500.0mg/kg,5.0d,5.974929,5.606935,270965693,blue,BLOCKER
triangle,P,MITOMYCIN C,0.5mg/kg,5.0d,7.8537207,3.382142,271907514,pink,INHIBITOR
triangle,P,OXYBUTYNIN,230.0mg/kg,5.0d,4.940493,3.6995044,270965748,green,ANTAGONIST
triangle,P,OXYBUTYNIN,230.0mg/kg,5.0d,4.940493,3.6995044,270965748,green,ANTAGONIST
triangle,P,CYCLOHEXIMIDE,0.25mg/kg,3.0d,9.028574,2.962107,271909170,pink,INHIBITOR
triangle,P,KETOPROFEN,20.4mg/kg,0.25d,8.123876,5.7903624,270965762,pink,INHIBITOR
triangle,P,HYDROXYUREA,59.0mg/kg,5.0d,9.203738,4.2052774,270965689,pink,INHIBITOR
triangle,P,ATORVASTATIN,2.5mg/kg,5.0d,5.6016946,3.693136,270965685,pink,INHIBITOR
triangle,P,METOPROLOL,120.0mg/kg,3.0d,7.7149262,1.583541,270965703,green,ANTAGONIST
triangle,P,VALSARTAN,1000.0mg/kg,3.0d,8.089006,1.9791943,270965710,green,ANTAGONIST
triangle,P,ZOPICLONE,414.0mg/kg,5.0d,6.944308,5.7103705,271047849,maroon,POSITIVE ALLOSTERIC MODULATOR
triangle,P,ZOPICLONE,414.0mg/kg,5.0d,6.944308,5.7103705,271047849,maroon,POSITIVE ALLOSTERIC MODULATOR
triangle,P,SULFADIMETHOXINE,1100.0mg/kg,5.0d,6.074656,5.2572966,271908799,pink,INHIBITOR
triangle,P,CYTARABINE,487.0mg/kg,0.25d,7.323621,2.4379952,271171071,pink,INHIBITOR
triangle,P,CYTARABINE,487.0mg/kg,0.25d,7.323621,2.4379952,271171071,pink,INHIBITOR
triangle,P,CYTARABINE,487.0mg/kg,0.25d,7.323621,2.4379952,271171071,pink,INHIBITOR
triangle,P,OXAPROZIN,1500.0mg/kg,3.0d,7.5134034,5.464575,271054076,pink,INHIBITOR
triangle,P,CADMIUM ACETATE,167.0mg/kg,5.0d,7.114696,3.2924457,270952596,lightgray,SEQUESTERING AGENT
triangle,P,CADMIUM ACETATE,167.0mg/kg,5.0d,7.114696,3.2924457,270952596,black,NULL
triangle,P,PENTAMIDINE,18.0mg/kg,1.0d,6.277531,4.779518,270990473,pink,INHIBITOR
