type,mode,chemical,dose,duration,col0,col1,smi_id,color,action_type
dot,M,CISAPRIDE,250.0mg/kg,0.25d,15.246067,2.7713785,271908440,orange,AGONIST
dot,M,CISAPRIDE,250.0mg/kg,1.0d,16.06589,2.334247,271908440,orange,AGONIST
dot,M,CISAPRIDE,250.0mg/kg,3.0d,14.379691,0.3804506,271908440,orange,AGONIST
dot,M,CISAPRIDE,250.0mg/kg,5.0d,14.337794,0.28510922,271908440,orange,AGONIST
dot,M,LOPERAMIDE,47.0mg/kg,1.0d,14.6446495,2.0830493,271912666,orange,AGONIST
dot,M,LOPERAMIDE,47.0mg/kg,3.0d,10.979777,0.87865424,271912666,orange,AGONIST
dot,M,METOCLOPRAMIDE,185.0mg/kg,1.0d,12.865512,-0.4684241,271060693,green,ANTAGONIST
dot,M,METOCLOPRAMIDE,185.0mg/kg,1.0d,12.865512,-0.4684241,271060693,green,ANTAGONIST
dot,M,METOCLOPRAMIDE,185.0mg/kg,1.0d,12.865512,-0.4684241,271060693,orange,AGONIST
dot,M,METOCLOPRAMIDE,185.0mg/kg,5.0d,13.016837,-0.6545297,271060693,green,ANTAGONIST
dot,M,METOCLOPRAMIDE,185.0mg/kg,5.0d,13.016837,-0.6545297,271060693,green,ANTAGONIST
dot,M,METOCLOPRAMIDE,185.0mg/kg,5.0d,13.016837,-0.6545297,271060693,orange,AGONIST
dot,M,ONDANSETRON,84.0mg/kg,0.25d,10.736691,1.5430743,271183927,green,ANTAGONIST
dot,M,ONDANSETRON,84.0mg/kg,1.0d,13.493074,1.7496519,271183927,green,ANTAGONIST
dot,M,ONDANSETRON,84.0mg/kg,3.0d,14.38532,1.2579803,271183927,green,ANTAGONIST
triangle,P,(R)-BICALUTAMIDE,1400.0mg/kg,1.0d,11.345654,1.0801712,271150807,green,ANTAGONIST
triangle,P,(R)-BICALUTAMIDE,1400.0mg/kg,3.0d,13.657601,0.3567769,271150807,green,ANTAGONIST
triangle,P,(R)-BICALUTAMIDE,1400.0mg/kg,5.0d,15.833626,1.0901498,271150807,green,ANTAGONIST
triangle,P,17-METHYLTESTOSTERONE,2000.0mg/kg,1.0d,13.955606,2.5903044,271246158,orange,AGONIST
triangle,P,17-METHYLTESTOSTERONE,2000.0mg/kg,3.0d,15.40018,-0.63920236,271246158,orange,AGONIST
triangle,P,17-METHYLTESTOSTERONE,2000.0mg/kg,5.0d,15.402342,-0.73917705,271246158,orange,AGONIST
triangle,P,4-METHYLPYRAZOLE,155.0mg/kg,1.0d,10.487046,1.3509756,271057748,pink,INHIBITOR
triangle,P,4-METHYLPYRAZOLE,155.0mg/kg,3.0d,10.488394,1.3631784,271057748,pink,INHIBITOR
triangle,P,4-METHYLPYRAZOLE,155.0mg/kg,5.0d,10.364806,1.3883421,271057748,pink,INHIBITOR
triangle,P,5-FLUORO-2'-DEOXYURIDINE,54.0mg/kg,1.0d,14.891365,0.7569686,271753947,pink,INHIBITOR
triangle,P,5-FLUORO-2'-DEOXYURIDINE,54.0mg/kg,3.0d,15.031434,0.92155135,271753947,pink,INHIBITOR
triangle,P,5-FLUORO-2'-DEOXYURIDINE,54.0mg/kg,5.0d,15.343149,0.9819038,271753947,pink,INHIBITOR
triangle,P,ACEMETACIN,2.0mg/kg,1.0d,14.416093,2.4822938,271908307,pink,INHIBITOR
triangle,P,ACEMETACIN,2.0mg/kg,3.0d,15.830715,1.5830863,271908307,pink,INHIBITOR
triangle,P,ACEMETACIN,2.0mg/kg,5.0d,16.2279,1.9009129,271908307,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,100.0mg/kg,0.25d,12.898178,3.740068,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,100.0mg/kg,0.25d,12.898178,3.740068,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,100.0mg/kg,0.25d,12.898178,3.740068,271268112,navy,OPENER
triangle,P,ACETAMINOPHEN,100.0mg/kg,1.0d,13.224152,-1.0430242,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,100.0mg/kg,1.0d,13.224152,-1.0430242,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,100.0mg/kg,1.0d,13.224152,-1.0430242,271268112,navy,OPENER
triangle,P,ACETAMINOPHEN,100.0mg/kg,3.0d,13.288069,-0.41349834,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,100.0mg/kg,3.0d,13.288069,-0.41349834,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,100.0mg/kg,3.0d,13.288069,-0.41349834,271268112,navy,OPENER
triangle,P,ACETAMINOPHEN,100.0mg/kg,5.0d,13.071321,-1.0605702,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,100.0mg/kg,5.0d,13.071321,-1.0605702,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,100.0mg/kg,5.0d,13.071321,-1.0605702,271268112,navy,OPENER
triangle,P,ACETAMINOPHEN,486.0mg/kg,0.25d,13.028853,0.76358795,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,486.0mg/kg,0.25d,13.028853,0.76358795,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,486.0mg/kg,0.25d,13.028853,0.76358795,271268112,navy,OPENER
triangle,P,ACETAMINOPHEN,486.0mg/kg,1.0d,14.853663,-2.0573475,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,486.0mg/kg,1.0d,14.853663,-2.0573475,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,486.0mg/kg,1.0d,14.853663,-2.0573475,271268112,navy,OPENER
triangle,P,ACETAMINOPHEN,486.0mg/kg,3.0d,13.675023,-0.832334,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,486.0mg/kg,3.0d,13.675023,-0.832334,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,486.0mg/kg,3.0d,13.675023,-0.832334,271268112,navy,OPENER
triangle,P,ACETAMINOPHEN,486.0mg/kg,5.0d,13.354877,-0.26650888,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,486.0mg/kg,5.0d,13.354877,-0.26650888,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,486.0mg/kg,5.0d,13.354877,-0.26650888,271268112,navy,OPENER
triangle,P,ACETAMINOPHEN,972.0mg/kg,1.0d,15.546948,-2.1910477,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,972.0mg/kg,1.0d,15.546948,-2.1910477,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,972.0mg/kg,1.0d,15.546948,-2.1910477,271268112,navy,OPENER
triangle,P,ACETAMINOPHEN,972.0mg/kg,3.0d,15.343014,-1.9869173,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,972.0mg/kg,3.0d,15.343014,-1.9869173,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,972.0mg/kg,3.0d,15.343014,-1.9869173,271268112,navy,OPENER
triangle,P,ACETAMINOPHEN,972.0mg/kg,5.0d,15.325252,-2.2259383,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,972.0mg/kg,5.0d,15.325252,-2.2259383,271268112,pink,INHIBITOR
triangle,P,ACETAMINOPHEN,972.0mg/kg,5.0d,15.325252,-2.2259383,271268112,navy,OPENER
triangle,P,ACETAZOLAMIDE,250.0mg/kg,0.25d,13.0305,3.8947382,271048837,pink,INHIBITOR
triangle,P,ACETAZOLAMIDE,250.0mg/kg,0.25d,13.0305,3.8947382,271048837,pink,INHIBITOR
triangle,P,ACETAZOLAMIDE,250.0mg/kg,0.25d,13.0305,3.8947382,271048837,pink,INHIBITOR
triangle,P,ACETAZOLAMIDE,250.0mg/kg,0.25d,13.0305,3.8947382,271048837,pink,INHIBITOR
triangle,P,ACETAZOLAMIDE,250.0mg/kg,1.0d,12.544928,-0.4963149,271048837,pink,INHIBITOR
triangle,P,ACETAZOLAMIDE,250.0mg/kg,1.0d,12.544928,-0.4963149,271048837,pink,INHIBITOR
triangle,P,ACETAZOLAMIDE,250.0mg/kg,1.0d,12.544928,-0.4963149,271048837,pink,INHIBITOR
triangle,P,ACETAZOLAMIDE,250.0mg/kg,1.0d,12.544928,-0.4963149,271048837,pink,INHIBITOR
triangle,P,ACETAZOLAMIDE,250.0mg/kg,3.0d,12.7646,-0.5420794,271048837,pink,INHIBITOR
triangle,P,ACETAZOLAMIDE,250.0mg/kg,3.0d,12.7646,-0.5420794,271048837,pink,INHIBITOR
triangle,P,ACETAZOLAMIDE,250.0mg/kg,3.0d,12.7646,-0.5420794,271048837,pink,INHIBITOR
triangle,P,ACETAZOLAMIDE,250.0mg/kg,3.0d,12.7646,-0.5420794,271048837,pink,INHIBITOR
triangle,P,ACETAZOLAMIDE,250.0mg/kg,5.0d,13.108947,0.43287882,271048837,pink,INHIBITOR
triangle,P,ACETAZOLAMIDE,250.0mg/kg,5.0d,13.108947,0.43287882,271048837,pink,INHIBITOR
triangle,P,ACETAZOLAMIDE,250.0mg/kg,5.0d,13.108947,0.43287882,271048837,pink,INHIBITOR
triangle,P,ACETAZOLAMIDE,250.0mg/kg,5.0d,13.108947,0.43287882,271048837,pink,INHIBITOR
triangle,P,ACETAZOLAMIDE,47.0mg/kg,0.25d,13.125868,3.923945,271048837,pink,INHIBITOR
triangle,P,ACETAZOLAMIDE,47.0mg/kg,0.25d,13.125868,3.923945,271048837,pink,INHIBITOR
triangle,P,ACETAZOLAMIDE,47.0mg/kg,0.25d,13.125868,3.923945,271048837,pink,INHIBITOR
triangle,P,ACETAZOLAMIDE,47.0mg/kg,0.25d,13.125868,3.923945,271048837,pink,INHIBITOR
