type,mode,chemical,dose,duration,col0,col1,smi_id,color,action_type
dot,M,CISAPRIDE,250.0mg/kg,0.25d,9.461117,4.4684477,271908440,orange,AGONIST
dot,M,ONDANSETRON,84.0mg/kg,0.25d,9.697868,4.152965,271183927,green,ANTAGONIST
triangle,P,SECOBARBITAL,20.0mg/kg,0.25d,10.290489,7.528891,270965701,maroon,POSITIVE ALLOSTERIC MODULATOR
triangle,P,CLOPIDOGREL,400.0mg/kg,0.25d,10.992282,6.7365975,271146295,green,ANTAGONIST
triangle,P,MESTRANOL,250.0mg/kg,5.0d,10.21095,5.31329,271644694,orange,AGONIST
triangle,P,DIGOXIN,0.26mg/kg,0.25d,9.958124,9.022654,271345630,pink,INHIBITOR
triangle,P,FLUOCINOLONE ACETONIDE,2.5mg/kg,5.0d,9.9147625,5.6821303,271911075,orange,AGONIST
triangle,P,BUTENAFINE,150.0mg/kg,3.0d,12.063263,7.7173643,271911067,pink,INHIBITOR
triangle,P,CYPROTERONE ACETATE,2500.0mg/kg,1.0d,9.366626,7.177228,271907265,green,ANTAGONIST
triangle,P,CYPROTERONE ACETATE,2500.0mg/kg,1.0d,9.366626,7.177228,271907265,green,ANTAGONIST
triangle,P,CYPROTERONE ACETATE,2500.0mg/kg,1.0d,9.366626,7.177228,271907265,orange,AGONIST
triangle,P,BACLOFEN,6.6mg/kg,3.0d,9.241799,7.890756,271178290,orange,AGONIST
triangle,P,ANGIOTENSIN II HUMAN,0.72mg/kg,1.0d,10.326954,5.172749,271918085,orange,AGONIST
triangle,P,TOBRAMYCIN,40.0mg/kg,28.0d,11.975914,6.004652,271148497,pink,INHIBITOR
triangle,P,ZOMEPIRAC,11.0mg/kg,1.0d,9.8573,6.455285,271081252,black,NULL
triangle,P,VENLAFAXINE,320.0mg/kg,1.0d,11.293229,7.2672863,271440007,pink,INHIBITOR
triangle,P,VENLAFAXINE,320.0mg/kg,1.0d,11.293229,7.2672863,271440007,pink,INHIBITOR
triangle,P,CYTARABINE,487.0mg/kg,1.0d,8.170644,8.112864,271171071,pink,INHIBITOR
triangle,P,CYTARABINE,487.0mg/kg,1.0d,8.170644,8.112864,271171071,pink,INHIBITOR
triangle,P,CYTARABINE,487.0mg/kg,1.0d,8.170644,8.112864,271171071,pink,INHIBITOR
triangle,P,CELECOXIB,400.0mg/kg,5.0d,9.172488,6.335067,271908416,pink,INHIBITOR
triangle,P,ROFECOXIB,1550.0mg/kg,5.0d,8.923157,4.673493,271908788,pink,INHIBITOR
triangle,P,BACLOFEN,19.0mg/kg,5.0d,9.721409,8.627315,271178290,orange,AGONIST
triangle,P,LEFLUNOMIDE,60.0mg/kg,5.0d,10.0731735,4.3428407,271908618,pink,INHIBITOR
triangle,P,DROPERIDOL,94.0mg/kg,5.0d,9.217384,5.8152595,271908505,green,ANTAGONIST
triangle,P,DROPERIDOL,94.0mg/kg,5.0d,9.217384,5.8152595,271908505,green,ANTAGONIST
triangle,P,PROGESTERONE,11.3mg/kg,3.0d,8.718159,8.698142,271644697,orange,AGONIST
triangle,P,FAMOTIDINE,1200.0mg/kg,1.0d,10.540032,6.5843706,271908541,green,ANTAGONIST
triangle,P,CAPTOPRIL,1750.0mg/kg,1.0d,9.0409155,8.193518,270965713,pink,INHIBITOR
triangle,P,LINCOMYCIN,1200.0mg/kg,3.0d,12.766434,6.4978023,270965672,pink,INHIBITOR
triangle,P,AMIKACIN,82.0mg/kg,5.0d,8.922654,7.9136896,271908324,pink,INHIBITOR
triangle,P,LISINOPRIL,2000.0mg/kg,5.0d,10.262582,5.7883477,270960294,pink,INHIBITOR
