type,mode,chemical,dose,duration,col0,col1,smi_id,color,action_type
dot,M,4-METHYLPYRAZOLE,155.0mg/kg,1.0d,13.022443,5.346514,271057748,pink,INHIBITOR
dot,M,4-METHYLPYRAZOLE,155.0mg/kg,3.0d,12.958993,5.4489865,271057748,pink,INHIBITOR
dot,M,ACETAMINOPHEN,100.0mg/kg,0.25d,12.955927,6.991277,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,100.0mg/kg,0.25d,12.955927,6.991277,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,100.0mg/kg,0.25d,12.955927,6.991277,271268112,navy,OPENER
dot,M,ACETAMINOPHEN,100.0mg/kg,1.0d,16.668945,3.2795765,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,100.0mg/kg,1.0d,16.668945,3.2795765,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,100.0mg/kg,1.0d,16.668945,3.2795765,271268112,navy,OPENER
dot,M,ACETAMINOPHEN,100.0mg/kg,3.0d,14.608737,4.2398157,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,100.0mg/kg,3.0d,14.608737,4.2398157,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,100.0mg/kg,3.0d,14.608737,4.2398157,271268112,navy,OPENER
dot,M,ACETAMINOPHEN,486.0mg/kg,1.0d,15.686452,2.9988394,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,486.0mg/kg,1.0d,15.686452,2.9988394,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,486.0mg/kg,1.0d,15.686452,2.9988394,271268112,navy,OPENER
dot,M,ACETAMINOPHEN,486.0mg/kg,3.0d,17.513386,4.300108,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,486.0mg/kg,3.0d,17.513386,4.300108,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,486.0mg/kg,3.0d,17.513386,4.300108,271268112,navy,OPENER
dot,M,ACETAMINOPHEN,486.0mg/kg,5.0d,14.490003,4.468576,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,486.0mg/kg,5.0d,14.490003,4.468576,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,486.0mg/kg,5.0d,14.490003,4.468576,271268112,navy,OPENER
dot,M,AMIKACIN,160.0mg/kg,14.0d,15.125331,7.532408,271908324,pink,INHIBITOR
dot,M,AMIKACIN,160.0mg/kg,5.0d,14.477861,5.9900384,271908324,pink,INHIBITOR
dot,M,AMIKACIN,82.0mg/kg,1.0d,13.876268,6.2660127,271908324,pink,INHIBITOR
dot,M,AMIODARONE,147.0mg/kg,1.0d,14.319654,5.6935287,271908326,blue,BLOCKER
dot,M,AMIODARONE,147.0mg/kg,3.0d,13.199727,5.907209,271908326,blue,BLOCKER
dot,M,AMIODARONE,147.0mg/kg,5.0d,12.368143,6.025083,271908326,blue,BLOCKER
dot,M,AMITRIPTYLINE,160.0mg/kg,1.0d,16.619064,7.458437,271908328,pink,INHIBITOR
dot,M,AMITRIPTYLINE,160.0mg/kg,1.0d,16.619064,7.458437,271908328,pink,INHIBITOR
dot,M,ATORVASTATIN,2.5mg/kg,0.25d,13.146009,6.8856077,270965685,pink,INHIBITOR
dot,M,ATORVASTATIN,2.5mg/kg,1.0d,15.934686,3.187392,270965685,pink,INHIBITOR
dot,M,ATORVASTATIN,300.0mg/kg,1.0d,16.078926,3.5445905,270965685,pink,INHIBITOR
dot,M,ATORVASTATIN,300.0mg/kg,3.0d,16.561853,3.2645593,270965685,pink,INHIBITOR
dot,M,AZATHIOPRINE,20.0mg/kg,1.0d,15.964503,3.2422414,271907146,pink,INHIBITOR
dot,M,AZATHIOPRINE,20.0mg/kg,1.0d,15.964503,3.2422414,271907146,pink,INHIBITOR
dot,M,AZATHIOPRINE,54.0mg/kg,3.0d,17.761827,2.7204554,271907146,pink,INHIBITOR
dot,M,AZATHIOPRINE,54.0mg/kg,3.0d,17.761827,2.7204554,271907146,pink,INHIBITOR
dot,M,AZATHIOPRINE,54.0mg/kg,5.0d,17.842276,2.3204522,271907146,pink,INHIBITOR
dot,M,AZATHIOPRINE,54.0mg/kg,5.0d,17.842276,2.3204522,271907146,pink,INHIBITOR
dot,M,AZITHROMYCIN,225.0mg/kg,5.0d,16.395575,4.3335814,270965676,pink,INHIBITOR
dot,M,BENAZEPRIL,1750.0mg/kg,5.0d,13.900963,3.489977,271058053,pink,INHIBITOR
dot,M,BEZAFIBRATE,100.0mg/kg,0.25d,11.916794,6.2730427,271910254,orange,AGONIST
dot,M,BEZAFIBRATE,100.0mg/kg,1.0d,15.293928,3.800055,271910254,orange,AGONIST
dot,M,BEZAFIBRATE,100.0mg/kg,3.0d,15.884004,2.5910406,271910254,orange,AGONIST
dot,M,BEZAFIBRATE,100.0mg/kg,5.0d,16.152454,5.876666,271910254,orange,AGONIST
dot,M,BITHIONOL,333.0mg/kg,1.0d,16.302208,3.3073545,271907709,black,NULL
dot,M,BITHIONOL,333.0mg/kg,3.0d,14.891136,2.4821389,271907709,black,NULL
dot,M,BITHIONOL,59.0mg/kg,0.25d,13.017561,6.308057,271907709,black,NULL
dot,M,BITHIONOL,59.0mg/kg,1.0d,16.180513,3.0231602,271907709,black,NULL
dot,M,BROMFENAC,5.0mg/kg,1.0d,16.755028,3.9849079,271911066,pink,INHIBITOR
dot,M,BROMFENAC,5.0mg/kg,3.0d,12.862736,3.6779723,271911066,pink,INHIBITOR
dot,M,BROMFENAC,5.0mg/kg,5.0d,12.665318,4.9960427,271911066,pink,INHIBITOR
dot,M,CADMIUM ACETATE,167.0mg/kg,0.25d,13.413237,5.699242,270952596,lightgray,SEQUESTERING AGENT
dot,M,CADMIUM ACETATE,167.0mg/kg,0.25d,13.413237,5.699242,270952596,black,NULL
dot,M,CALCITRIOL,0.04mg/kg,1.0d,14.825376,5.0665636,271908394,orange,AGONIST
dot,M,CALCITRIOL,0.04mg/kg,3.0d,14.750373,7.5895267,271908394,orange,AGONIST
dot,M,CALCITRIOL,0.04mg/kg,5.0d,15.372342,7.157109,271908394,orange,AGONIST
