type,mode,chemical,dose,duration,col0,col1,smi_id,color,action_type
dot,M,(R)-BICALUTAMIDE,1400.0mg/kg,1.0d,5.646845,8.895762,271150807,green,ANTAGONIST
dot,M,(R)-BICALUTAMIDE,1400.0mg/kg,3.0d,2.7694578,3.2701697,271150807,green,ANTAGONIST
dot,M,(R)-BICALUTAMIDE,1400.0mg/kg,5.0d,5.549459,8.961842,271150807,green,ANTAGONIST
dot,M,4-METHYLPYRAZOLE,155.0mg/kg,1.0d,0.11154918,2.379164,271057748,pink,INHIBITOR
dot,M,4-METHYLPYRAZOLE,155.0mg/kg,3.0d,0.010410138,2.4481065,271057748,pink,INHIBITOR
dot,M,4-METHYLPYRAZOLE,155.0mg/kg,5.0d,0.16669224,2.4483597,271057748,pink,INHIBITOR
dot,M,ACETAMINOPHEN,100.0mg/kg,0.25d,4.852811,3.8754258,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,100.0mg/kg,0.25d,4.852811,3.8754258,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,100.0mg/kg,0.25d,4.852811,3.8754258,271268112,navy,OPENER
dot,M,ACETAMINOPHEN,100.0mg/kg,1.0d,6.2977176,2.250369,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,100.0mg/kg,1.0d,6.2977176,2.250369,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,100.0mg/kg,1.0d,6.2977176,2.250369,271268112,navy,OPENER
dot,M,ACETAMINOPHEN,100.0mg/kg,3.0d,6.31979,2.1763484,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,100.0mg/kg,3.0d,6.31979,2.1763484,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,100.0mg/kg,3.0d,6.31979,2.1763484,271268112,navy,OPENER
dot,M,ACETAMINOPHEN,486.0mg/kg,1.0d,4.844124,2.9658518,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,486.0mg/kg,1.0d,4.844124,2.9658518,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,486.0mg/kg,1.0d,4.844124,2.9658518,271268112,navy,OPENER
dot,M,ACETAMINOPHEN,486.0mg/kg,3.0d,6.2701745,2.1937006,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,486.0mg/kg,3.0d,6.2701745,2.1937006,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,486.0mg/kg,3.0d,6.2701745,2.1937006,271268112,navy,OPENER
dot,M,ACETAMINOPHEN,486.0mg/kg,5.0d,6.324006,2.2328455,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,486.0mg/kg,5.0d,6.324006,2.2328455,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,486.0mg/kg,5.0d,6.324006,2.2328455,271268112,navy,OPENER
dot,M,ACETAZOLAMIDE,250.0mg/kg,1.0d,5.430537,1.7539428,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,1.0d,5.430537,1.7539428,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,1.0d,5.430537,1.7539428,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,1.0d,5.430537,1.7539428,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,3.0d,5.6371884,1.4327523,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,3.0d,5.6371884,1.4327523,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,3.0d,5.6371884,1.4327523,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,3.0d,5.6371884,1.4327523,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,5.0d,5.6011486,1.4117423,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,5.0d,5.6011486,1.4117423,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,5.0d,5.6011486,1.4117423,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,5.0d,5.6011486,1.4117423,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,47.0mg/kg,0.25d,6.4516554,1.5665601,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,47.0mg/kg,0.25d,6.4516554,1.5665601,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,47.0mg/kg,0.25d,6.4516554,1.5665601,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,47.0mg/kg,0.25d,6.4516554,1.5665601,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,47.0mg/kg,1.0d,5.55406,1.4717538,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,47.0mg/kg,1.0d,5.55406,1.4717538,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,47.0mg/kg,1.0d,5.55406,1.4717538,271048837,pink,INHIBITOR
