type,mode,chemical,dose,duration,col0,col1,smi_id,color,action_type
dot,M,CHLORMADINONE ACETATE,2000.0mg/kg,3.0d,-0.9879989,3.7222185,271907216,gray,MODULATOR
dot,M,IMATINIB,15.0mg/kg,5.0d,0.06579051,1.8951566,271910732,pink,INHIBITOR
dot,M,IMATINIB,15.0mg/kg,5.0d,0.06579051,1.8951566,271910732,pink,INHIBITOR
dot,M,IMATINIB,15.0mg/kg,5.0d,0.06579051,1.8951566,271910732,pink,INHIBITOR
dot,M,IMATINIB,15.0mg/kg,5.0d,0.06579051,1.8951566,271910732,pink,INHIBITOR
dot,M,SULFADIMETHOXINE,1100.0mg/kg,3.0d,-0.15044892,3.130241,271908799,pink,INHIBITOR
dot,M,ATORVASTATIN,300.0mg/kg,1.0d,0.7459395,-1.3971347,270965685,pink,INHIBITOR
dot,M,AMIKACIN,160.0mg/kg,28.0d,5.5925083,5.554354,271908324,pink,INHIBITOR
dot,M,DEXFENFLURAMINE,29.0mg/kg,3.0d,4.5840673,3.3165624,271914018,orange,AGONIST
dot,M,ERGOCALCIFEROL,15.0mg/kg,5.0d,1.2036238,3.9140112,271465989,orange,AGONIST
dot,M,AMINOCAPROIC ACID,2000.0mg/kg,1.0d,-1.2745562,0.28673133,271069954,pink,INHIBITOR
dot,M,AMINOCAPROIC ACID,2000.0mg/kg,1.0d,-1.2745562,0.28673133,271069954,pink,INHIBITOR
dot,M,SULFANILAMIDE,636.0mg/kg,5.0d,6.2334895,2.734482,270985206,pink,INHIBITOR
dot,M,PRAVASTATIN,1200.0mg/kg,1.0d,-1.8033838,0.31386265,270965682,pink,INHIBITOR
dot,M,IBUPROFEN,263.0mg/kg,5.0d,4.60141,5.6562696,270958762,pink,INHIBITOR
dot,M,AZATHIOPRINE,54.0mg/kg,3.0d,3.1937072,3.3288374,271907146,pink,INHIBITOR
dot,M,AZATHIOPRINE,54.0mg/kg,3.0d,3.1937072,3.3288374,271907146,pink,INHIBITOR
dot,M,LEVOFLOXACIN,739.0mg/kg,5.0d,1.4516302,3.8757818,270965760,pink,INHIBITOR
dot,M,LEFLUNOMIDE,30.0mg/kg,0.25d,-1.8036698,0.90007305,271908618,pink,INHIBITOR
dot,M,CERIVASTATIN,7.0mg/kg,5.0d,5.0427785,6.796118,271908418,pink,INHIBITOR
dot,M,CYCLOSPORIN A,70.0mg/kg,5.0d,5.4984293,3.832565,271150858,gray,MODULATOR
dot,M,PHENACETIN,619.0mg/kg,3.0d,-2.1707165,0.9924776,271907616,black,NULL
dot,M,CLOFIBRATE,130.0mg/kg,1.0d,4.253097,2.3131106,271907252,orange,AGONIST
dot,M,FLUOCINOLONE ACETONIDE,2.5mg/kg,1.0d,5.0301075,6.8864975,271911075,orange,AGONIST
dot,M,TOLAZAMIDE,1500.0mg/kg,5.0d,-1.3545841,2.0046682,271907715,blue,BLOCKER
dot,M,ETHAMBUTOL,998.0mg/kg,3.0d,4.667836,1.8818778,270984976,pink,INHIBITOR
dot,M,HYDROCORTISONE,56.0mg/kg,3.0d,2.265701,6.479393,270950727,orange,AGONIST
dot,M,PHENACEMIDE,400.0mg/kg,1.0d,1.3463204,-2.1443064,271908732,blue,BLOCKER
dot,M,LOVASTATIN,1500.0mg/kg,5.0d,1.5586663,5.5966334,271171417,pink,INHIBITOR
dot,M,TOBRAMYCIN,40.0mg/kg,28.0d,5.5438547,5.5530252,271148497,pink,INHIBITOR
dot,M,FLUVASTATIN,5.0mg/kg,1.0d,1.0242914,0.06023542,271907397,pink,INHIBITOR
dot,M,METHOTREXATE,0.3mg/kg,3.0d,2.303868,5.962041,270965669,pink,INHIBITOR
dot,M,FUROSEMIDE,375.0mg/kg,3.0d,-0.8514272,3.4846542,271907403,pink,INHIBITOR
dot,M,PENICILLIN G,243.0mg/kg,3.0d,-0.38100275,3.326925,270966031,pink,INHIBITOR
dot,M,PREDNISOLONE,184.0mg/kg,1.0d,5.0617895,6.8052,270965695,orange,AGONIST
dot,M,SULFANILAMIDE,636.0mg/kg,3.0d,-0.6616164,4.4418983,270985206,pink,INHIBITOR
dot,M,DEXAMETHASONE,300.0mg/kg,3.0d,2.3292599,6.5853586,270949613,orange,AGONIST
dot,M,ZOMEPIRAC,11.0mg/kg,1.0d,-2.5415258,0.58148986,271081252,black,NULL
dot,M,BENAZEPRIL,1750.0mg/kg,1.0d,0.04481484,0.17181818,271058053,pink,INHIBITOR
dot,M,THALIDOMIDE,113.0mg/kg,5.0d,4.675683,2.874491,271908301,pink,INHIBITOR
dot,M,RIFABUTIN,1500.0mg/kg,5.0d,1.8685182,5.6004763,271637057,pink,INHIBITOR
dot,M,AMPRENAVIR,600.0mg/kg,5.0d,-0.58974814,3.063772,271637496,pink,INHIBITOR
dot,M,BITHIONOL,333.0mg/kg,3.0d,2.0467997,5.5806866,271907709,black,NULL
dot,M,PIROXICAM,14.0mg/kg,5.0d,4.9221144,2.566679,271271897,pink,INHIBITOR
dot,M,ERYTHROMYCIN,1500.0mg/kg,1.0d,-0.7845144,1.1496074,270965674,pink,INHIBITOR
dot,M,FLUDROCORTISONE ACETATE,125.0mg/kg,1.0d,5.062333,6.810586,271908552,orange,AGONIST
dot,M,NETILMICIN,40.0mg/kg,14.0d,5.5559473,5.4258366,271637449,pink,INHIBITOR
dot,M,VALDECOXIB,404.0mg/kg,3.0d,4.7455864,2.0489438,271912153,pink,INHIBITOR
dot,M,SULBACTAM,671.0mg/kg,5.0d,1.411306,2.5110927,270960870,pink,INHIBITOR
dot,M,AZITHROMYCIN,225.0mg/kg,3.0d,-2.4646285,0.6664798,270965676,pink,INHIBITOR
dot,M,PHENACEMIDE,400.0mg/kg,3.0d,3.3252215,3.3253984,271908732,blue,BLOCKER
dot,M,MEFENAMIC ACID,93.0mg/kg,5.0d,-0.8418809,3.9084735,271908632,pink,INHIBITOR
dot,M,VENLAFAXINE,320.0mg/kg,3.0d,-1.0905951,2.309685,271440007,pink,INHIBITOR
dot,M,VENLAFAXINE,320.0mg/kg,3.0d,-1.0905951,2.309685,271440007,pink,INHIBITOR
dot,M,FLURBIPROFEN,10.0mg/kg,3.0d,4.2487497,5.4793696,271763007,pink,INHIBITOR
dot,M,FLURBIPROFEN,10.0mg/kg,3.0d,4.2487497,5.4793696,271763007,gray,MODULATOR
dot,M,DICLOFENAC,10.0mg/kg,1.0d,0.057803966,1.1142764,271532305,pink,INHIBITOR
dot,M,ERGOCALCIFEROL,15.0mg/kg,1.0d,-2.2220936,1.3587958,271465989,orange,AGONIST
dot,M,DIETHYLSTILBESTROL,280.0mg/kg,3.0d,-1.7639984,-2.2185678,270955309,orange,AGONIST
dot,M,NETILMICIN,41.0mg/kg,3.0d,-0.39659366,4.3384457,271637449,pink,INHIBITOR
dot,M,LEFLUNOMIDE,30.0mg/kg,3.0d,2.7945879,3.2947154,271908618,pink,INHIBITOR
dot,M,HYDROCORTISONE,56.0mg/kg,1.0d,5.0584025,6.8289995,270950727,orange,AGONIST
dot,M,METHOTREXATE,27.0mg/kg,3.0d,-1.7260153,1.5976441,270965669,pink,INHIBITOR
dot,M,4-METHYLPYRAZOLE,155.0mg/kg,5.0d,0.5432053,0.868499,271057748,pink,INHIBITOR
dot,M,FLUVASTATIN,94.0mg/kg,5.0d,2.564627,5.54947,271907397,pink,INHIBITOR
dot,M,RIFABUTIN,1500.0mg/kg,1.0d,-0.81216466,2.5849159,271637057,pink,INHIBITOR
dot,M,MESNA,755.0mg/kg,1.0d,0.5846963,-0.6847998,271907463,black,NULL
dot,M,THALIDOMIDE,113.0mg/kg,1.0d,4.547398,2.7160485,271908301,pink,INHIBITOR
dot,M,PHENACETIN,619.0mg/kg,1.0d,0.44442326,-1.8001455,271907616,black,NULL
dot,M,ENALAPRIL,1500.0mg/kg,5.0d,0.053126093,3.1598523,270965712,pink,INHIBITOR
dot,M,SULFATHIAZOLE,2629.0mg/kg,5.0d,1.3859938,4.682057,270966030,pink,INHIBITOR
dot,M,SULFANILAMIDE,636.0mg/kg,1.0d,6.217633,2.6932948,270985206,pink,INHIBITOR
dot,M,FOSCARNET,350.0mg/kg,3.0d,1.4061573,1.8789464,271908561,pink,INHIBITOR
dot,M,AMPRENAVIR,600.0mg/kg,3.0d,-0.8977586,2.7061813,271637496,pink,INHIBITOR
dot,M,FLUVASTATIN,5.0mg/kg,0.25d,-2.326626,0.647351,271907397,pink,INHIBITOR
dot,M,CEPHALEXIN,2500.0mg/kg,3.0d,-1.5601238,0.99989605,270992309,pink,INHIBITOR
dot,M,ATORVASTATIN,300.0mg/kg,3.0d,1.7235653,-1.9542923,270965685,pink,INHIBITOR
dot,M,TRIMETHADIONE,535.0mg/kg,5.0d,4.208847,3.0706327,271907733,blue,BLOCKER
dot,M,RAMIPRIL,1500.0mg/kg,5.0d,1.0032481,5.8519,271347982,pink,INHIBITOR
dot,M,PIROXICAM,14.0mg/kg,1.0d,5.1326556,2.589174,271271897,pink,INHIBITOR
dot,M,ETHAMBUTOL,998.0mg/kg,5.0d,4.786251,2.8249595,270984976,pink,INHIBITOR
dot,M,PHENACEMIDE,400.0mg/kg,5.0d,3.0255132,3.5945735,271908732,blue,BLOCKER
dot,M,OFLOXACIN,3000.0mg/kg,3.0d,0.8800325,3.0664485,270965760,pink,INHIBITOR
dot,M,AZLOCILLIN,800.0mg/kg,3.0d,1.2378088,1.6341636,271637461,pink,INHIBITOR
dot,M,BITHIONOL,333.0mg/kg,1.0d,1.2006384,-0.22189409,271907709,black,NULL
dot,M,DEXFENFLURAMINE,29.0mg/kg,1.0d,0.11676654,0.26678553,271914018,orange,AGONIST
dot,M,NATEGLINIDE,625.0mg/kg,3.0d,-0.8938468,3.7336287,271639355,blue,BLOCKER
dot,M,NORFLOXACIN,1500.0mg/kg,5.0d,1.4068786,6.0755258,271051092,pink,INHIBITOR
dot,M,NORFLOXACIN,1500.0mg/kg,5.0d,1.4068786,6.0755258,271051092,pink,INHIBITOR
dot,M,FLUOXETINE,52.0mg/kg,3.0d,4.2181544,3.6660202,270965729,pink,INHIBITOR
dot,M,FLURBIPROFEN,10.0mg/kg,1.0d,-1.980779,0.28570253,271763007,pink,INHIBITOR
dot,M,FLURBIPROFEN,10.0mg/kg,1.0d,-1.980779,0.28570253,271763007,gray,MODULATOR
dot,M,SPIRONOLACTONE,300.0mg/kg,5.0d,1.7864712,5.5383973,271910487,green,ANTAGONIST
dot,M,SULFADIAZINE,1170.0mg/kg,1.0d,4.6376953,2.875646,271074082,pink,INHIBITOR
dot,M,SULFADIMETHOXINE,1100.0mg/kg,1.0d,-1.8353363,0.68284935,271908799,pink,INHIBITOR
dot,M,DEXFENFLURAMINE,29.0mg/kg,5.0d,4.266894,3.5236993,271914018,orange,AGONIST
dot,M,SPIRONOLACTONE,300.0mg/kg,3.0d,-1.4934527,1.5964177,271910487,green,ANTAGONIST
dot,M,ETHAMBUTOL,998.0mg/kg,1.0d,4.4448514,1.9392135,270984976,pink,INHIBITOR
dot,M,SULFADIAZINE,1170.0mg/kg,3.0d,4.508804,2.8109636,271074082,pink,INHIBITOR
dot,M,NATEGLINIDE,625.0mg/kg,5.0d,1.0927855,2.7082884,271639355,blue,BLOCKER
dot,M,CYTARABINE,487.0mg/kg,3.0d,4.5155973,2.3218675,271171071,pink,INHIBITOR
dot,M,CYTARABINE,487.0mg/kg,3.0d,4.5155973,2.3218675,271171071,pink,INHIBITOR
dot,M,CYTARABINE,487.0mg/kg,3.0d,4.5155973,2.3218675,271171071,pink,INHIBITOR
dot,M,NAPROXEN,10.0mg/kg,3.0d,2.8563411,4.9945517,270965759,pink,INHIBITOR
dot,M,TOLAZAMIDE,1500.0mg/kg,3.0d,1.4818472,3.4837375,271907715,blue,BLOCKER
