type,mode,chemical,dose,duration,col0,col1,smi_id,color,action_type
dot,M,ROFECOXIB,1550.0mg/kg,3.0d,-1.7453219,-0.64101636,271908788,pink,INHIBITOR
dot,M,IMATINIB,15.0mg/kg,5.0d,-0.48113692,2.8091114,271910732,pink,INHIBITOR
dot,M,IMATINIB,15.0mg/kg,5.0d,-0.48113692,2.8091114,271910732,pink,INHIBITOR
dot,M,IMATINIB,15.0mg/kg,5.0d,-0.48113692,2.8091114,271910732,pink,INHIBITOR
dot,M,IMATINIB,15.0mg/kg,5.0d,-0.48113692,2.8091114,271910732,pink,INHIBITOR
dot,M,RALOXIFENE,650.0mg/kg,1.0d,-3.0940013,-1.7025121,271908781,gray,MODULATOR
dot,M,PRALIDOXIME CHLORIDE,48.0mg/kg,3.0d,1.0098138,-1.420697,271908758,red,ACTIVATOR
dot,M,NORETHINDRONE,75.0mg/kg,5.0d,5.113939,5.890477,270965768,orange,AGONIST
dot,M,CYCLOSPORIN A,350.0mg/kg,0.25d,-1.5790998,7.3427033,271150858,gray,MODULATOR
dot,M,CITALOPRAM,40.0mg/kg,0.25d,-1.6327446,6.7055864,271763385,pink,INHIBITOR
dot,M,DEXAMETHASONE,1.0mg/kg,0.25d,-0.29344568,6.9216247,270949613,orange,AGONIST
dot,M,SULCONAZOLE,1200.0mg/kg,1.0d,-0.23509334,-0.0018181207,271912128,pink,INHIBITOR
dot,M,LEFLUNOMIDE,60.0mg/kg,0.25d,-1.0520911,6.914968,271908618,pink,INHIBITOR
dot,M,BEZAFIBRATE,100.0mg/kg,0.25d,-0.17188103,8.8694935,271910254,orange,AGONIST
dot,M,FLUPHENAZINE,22.0mg/kg,0.25d,-1.5343636,7.247382,271908555,green,ANTAGONIST
dot,M,AZATHIOPRINE,54.0mg/kg,3.0d,0.7606212,1.8620574,271907146,pink,INHIBITOR
dot,M,AZATHIOPRINE,54.0mg/kg,3.0d,0.7606212,1.8620574,271907146,pink,INHIBITOR
dot,M,DICLOFENAC,3.5mg/kg,1.0d,0.37256396,-2.2076204,271532305,pink,INHIBITOR
dot,M,DIPYRONE,1636.0mg/kg,5.0d,2.4073856,5.78729,271907358,pink,INHIBITOR
dot,M,DEXAMETHASONE,1.0mg/kg,5.0d,-1.7028444,-4.7569513,270949613,orange,AGONIST
dot,M,NORETHINDRONE,0.08mg/kg,5.0d,-1.0288936,-2.4185524,270965768,orange,AGONIST
dot,M,RALOXIFENE,650.0mg/kg,5.0d,-1.2922044,4.040757,271908781,gray,MODULATOR
dot,M,CHLORAMBUCIL,0.6mg/kg,3.0d,0.37526992,-1.7650328,270986834,pink,INHIBITOR
dot,M,BETAMETHASONE,79.0mg/kg,3.0d,-1.8157504,-4.99219,270949613,orange,AGONIST
dot,M,MICONAZOLE,200.0mg/kg,3.0d,-1.5062518,-2.1811566,271908671,pink,INHIBITOR
dot,M,ALFACALCIDOL,0.04mg/kg,1.0d,-0.76925415,3.9682658,271908317,orange,AGONIST
