type,mode,chemical,dose,duration,col0,col1,smi_id,color,action_type
dot,M,17-METHYLTESTOSTERONE,2000.0mg/kg,3.0d,11.282246,4.6754165,271246158,blue,AGONIST
dot,M,17-METHYLTESTOSTERONE,2000.0mg/kg,5.0d,9.388203,3.83761,271246158,blue,AGONIST
dot,M,ACETAMINOPHEN,100.0mg/kg,5.0d,8.550853,5.5905147,271268112,magenta,INHIBITOR
dot,M,ACETAMINOPHEN,100.0mg/kg,5.0d,8.550853,5.5905147,271268112,magenta,INHIBITOR
dot,M,ACETAMINOPHEN,100.0mg/kg,5.0d,8.550853,5.5905147,271268112,khaki,OPENER
dot,M,ACETAZOLAMIDE,250.0mg/kg,0.25d,7.7598705,7.630438,271048837,magenta,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,0.25d,7.7598705,7.630438,271048837,magenta,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,0.25d,7.7598705,7.630438,271048837,magenta,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,0.25d,7.7598705,7.630438,271048837,magenta,INHIBITOR
dot,M,AMANTADINE,220.0mg/kg,1.0d,12.266091,8.759394,270965699,orange,ANTAGONIST
dot,M,AMANTADINE,220.0mg/kg,1.0d,12.266091,8.759394,270965699,magenta,INHIBITOR
dot,M,AMINOGLUTETHIMIDE,350.0mg/kg,3.0d,11.155091,4.505841,271813609,magenta,INHIBITOR
dot,M,AMINOGLUTETHIMIDE,350.0mg/kg,3.0d,11.155091,4.505841,271813609,magenta,INHIBITOR
dot,M,AMIODARONE,147.0mg/kg,3.0d,12.514494,8.349903,271908326,yellow,BLOCKER
dot,M,AMIODARONE,147.0mg/kg,5.0d,12.549002,8.4048605,271908326,yellow,BLOCKER
dot,M,ANASTROZOLE,400.0mg/kg,1.0d,10.561285,4.0160384,271908334,magenta,INHIBITOR
dot,M,ANASTROZOLE,400.0mg/kg,3.0d,11.472418,4.5994697,271908334,magenta,INHIBITOR
dot,M,ANASTROZOLE,400.0mg/kg,5.0d,11.515479,4.6698914,271908334,magenta,INHIBITOR
dot,M,ARTEMISININ,2000.0mg/kg,1.0d,10.235332,3.7834134,271911064,black,NULL
dot,M,ARTEMISININ,2000.0mg/kg,3.0d,11.017308,4.6537747,271911064,black,NULL
dot,M,ARTEMISININ,2000.0mg/kg,5.0d,13.741508,8.108168,271911064,black,NULL
dot,M,ATORVASTATIN,2.5mg/kg,0.25d,7.5677266,7.3968954,270965685,magenta,INHIBITOR
dot,M,ATORVASTATIN,2.5mg/kg,1.0d,9.214754,6.402688,270965685,magenta,INHIBITOR
dot,M,ATORVASTATIN,2.5mg/kg,3.0d,9.236644,6.410272,270965685,magenta,INHIBITOR
dot,M,ATORVASTATIN,2.5mg/kg,5.0d,9.5151205,5.7844768,270965685,magenta,INHIBITOR
dot,M,ATORVASTATIN,300.0mg/kg,0.25d,7.8440175,7.4307103,270965685,magenta,INHIBITOR
dot,M,AZATHIOPRINE,160.0mg/kg,3.0d,13.412418,7.5567966,271907146,magenta,INHIBITOR
dot,M,AZATHIOPRINE,160.0mg/kg,3.0d,13.412418,7.5567966,271907146,magenta,INHIBITOR
dot,M,AZATHIOPRINE,20.0mg/kg,3.0d,9.429778,5.7386303,271907146,magenta,INHIBITOR
dot,M,AZATHIOPRINE,20.0mg/kg,3.0d,9.429778,5.7386303,271907146,magenta,INHIBITOR
dot,M,AZATHIOPRINE,54.0mg/kg,3.0d,14.682663,6.8010297,271907146,magenta,INHIBITOR
dot,M,AZATHIOPRINE,54.0mg/kg,3.0d,14.682663,6.8010297,271907146,magenta,INHIBITOR
dot,M,AZATHIOPRINE,54.0mg/kg,5.0d,14.673574,6.80335,271907146,magenta,INHIBITOR
dot,M,AZATHIOPRINE,54.0mg/kg,5.0d,14.673574,6.80335,271907146,magenta,INHIBITOR
dot,M,BETAMETHASONE,79.0mg/kg,1.0d,14.05546,9.230954,270949613,blue,AGONIST
dot,M,BETAMETHASONE,79.0mg/kg,3.0d,14.538201,8.841412,270949613,blue,AGONIST
dot,M,BETAMETHASONE,79.0mg/kg,5.0d,14.766774,8.710215,270949613,blue,AGONIST
dot,M,BEZAFIBRATE,100.0mg/kg,0.25d,6.8469324,5.206419,271910254,blue,AGONIST
dot,M,BEZAFIBRATE,100.0mg/kg,1.0d,7.1704006,4.900543,271910254,blue,AGONIST
dot,M,BEZAFIBRATE,100.0mg/kg,3.0d,7.243096,4.526026,271910254,blue,AGONIST
