type,mode,chemical,dose,duration,col0,col1,smi_id,color,action_type
dot,M,17-METHYLTESTOSTERONE,2000.0mg/kg,1.0d,14.622337,-2.759649,271246158,orange,AGONIST
dot,M,17-METHYLTESTOSTERONE,2000.0mg/kg,3.0d,13.919964,-1.6396362,271246158,orange,AGONIST
dot,M,17-METHYLTESTOSTERONE,2000.0mg/kg,5.0d,14.165083,-1.8857346,271246158,orange,AGONIST
dot,M,4-METHYLPYRAZOLE,155.0mg/kg,1.0d,11.623248,4.5837593,271057748,pink,INHIBITOR
dot,M,4-METHYLPYRAZOLE,155.0mg/kg,3.0d,11.629638,4.569246,271057748,pink,INHIBITOR
dot,M,4-METHYLPYRAZOLE,155.0mg/kg,5.0d,12.056996,4.329149,271057748,pink,INHIBITOR
dot,M,ACEMETACIN,2.0mg/kg,1.0d,13.305101,2.2221727,271908307,pink,INHIBITOR
dot,M,ACEMETACIN,2.0mg/kg,3.0d,16.166794,1.2891736,271908307,pink,INHIBITOR
dot,M,ACEMETACIN,2.0mg/kg,5.0d,16.197794,1.2543576,271908307,pink,INHIBITOR
dot,M,ACETAMINOPHEN,100.0mg/kg,0.25d,9.7985735,-1.4285469,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,100.0mg/kg,0.25d,9.7985735,-1.4285469,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,100.0mg/kg,0.25d,9.7985735,-1.4285469,271268112,navy,OPENER
dot,M,ACETAMINOPHEN,100.0mg/kg,1.0d,9.747524,-1.4919657,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,100.0mg/kg,1.0d,9.747524,-1.4919657,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,100.0mg/kg,1.0d,9.747524,-1.4919657,271268112,navy,OPENER
dot,M,ACETAMINOPHEN,100.0mg/kg,3.0d,9.703768,-1.5547945,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,100.0mg/kg,3.0d,9.703768,-1.5547945,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,100.0mg/kg,3.0d,9.703768,-1.5547945,271268112,navy,OPENER
dot,M,ACETAMINOPHEN,100.0mg/kg,5.0d,9.724418,-0.8825264,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,100.0mg/kg,5.0d,9.724418,-0.8825264,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,100.0mg/kg,5.0d,9.724418,-0.8825264,271268112,navy,OPENER
dot,M,ACETAMINOPHEN,486.0mg/kg,0.25d,9.975783,-0.418249,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,486.0mg/kg,0.25d,9.975783,-0.418249,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,486.0mg/kg,0.25d,9.975783,-0.418249,271268112,navy,OPENER
dot,M,ACETAMINOPHEN,486.0mg/kg,1.0d,12.780124,-3.2352288,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,486.0mg/kg,1.0d,12.780124,-3.2352288,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,486.0mg/kg,1.0d,12.780124,-3.2352288,271268112,navy,OPENER
dot,M,ACETAMINOPHEN,486.0mg/kg,3.0d,12.784814,-3.4774914,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,486.0mg/kg,3.0d,12.784814,-3.4774914,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,486.0mg/kg,3.0d,12.784814,-3.4774914,271268112,navy,OPENER
dot,M,ACETAMINOPHEN,486.0mg/kg,5.0d,9.008869,-1.2765726,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,486.0mg/kg,5.0d,9.008869,-1.2765726,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,486.0mg/kg,5.0d,9.008869,-1.2765726,271268112,navy,OPENER
dot,M,ACETAMINOPHEN,972.0mg/kg,1.0d,13.639181,-2.1287496,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,972.0mg/kg,1.0d,13.639181,-2.1287496,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,972.0mg/kg,1.0d,13.639181,-2.1287496,271268112,navy,OPENER
dot,M,ACETAMINOPHEN,972.0mg/kg,3.0d,13.41697,-2.3846605,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,972.0mg/kg,3.0d,13.41697,-2.3846605,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,972.0mg/kg,3.0d,13.41697,-2.3846605,271268112,navy,OPENER
dot,M,ACETAMINOPHEN,972.0mg/kg,5.0d,13.3122015,-2.258887,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,972.0mg/kg,5.0d,13.3122015,-2.258887,271268112,pink,INHIBITOR
dot,M,ACETAMINOPHEN,972.0mg/kg,5.0d,13.3122015,-2.258887,271268112,navy,OPENER
dot,M,ACETAZOLAMIDE,250.0mg/kg,0.25d,9.999352,-0.13261706,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,0.25d,9.999352,-0.13261706,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,0.25d,9.999352,-0.13261706,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,0.25d,9.999352,-0.13261706,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,1.0d,10.312412,-1.1535349,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,1.0d,10.312412,-1.1535349,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,1.0d,10.312412,-1.1535349,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,1.0d,10.312412,-1.1535349,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,3.0d,10.35765,-1.2157326,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,3.0d,10.35765,-1.2157326,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,3.0d,10.35765,-1.2157326,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,3.0d,10.35765,-1.2157326,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,5.0d,13.569625,1.2419378,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,5.0d,13.569625,1.2419378,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,5.0d,13.569625,1.2419378,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,250.0mg/kg,5.0d,13.569625,1.2419378,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,47.0mg/kg,0.25d,10.362242,-1.0347286,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,47.0mg/kg,0.25d,10.362242,-1.0347286,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,47.0mg/kg,0.25d,10.362242,-1.0347286,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,47.0mg/kg,0.25d,10.362242,-1.0347286,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,47.0mg/kg,1.0d,10.1948,-1.1487141,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,47.0mg/kg,1.0d,10.1948,-1.1487141,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,47.0mg/kg,1.0d,10.1948,-1.1487141,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,47.0mg/kg,1.0d,10.1948,-1.1487141,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,47.0mg/kg,3.0d,10.43215,-1.3398355,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,47.0mg/kg,3.0d,10.43215,-1.3398355,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,47.0mg/kg,3.0d,10.43215,-1.3398355,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,47.0mg/kg,3.0d,10.43215,-1.3398355,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,47.0mg/kg,5.0d,10.088266,-1.2298187,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,47.0mg/kg,5.0d,10.088266,-1.2298187,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,47.0mg/kg,5.0d,10.088266,-1.2298187,271048837,pink,INHIBITOR
dot,M,ACETAZOLAMIDE,47.0mg/kg,5.0d,10.088266,-1.2298187,271048837,pink,INHIBITOR
dot,M,ALFACALCIDOL,0.04mg/kg,1.0d,14.743356,1.900197,271908317,orange,AGONIST
dot,M,ALFACALCIDOL,0.04mg/kg,3.0d,16.00333,0.54846936,271908317,orange,AGONIST
dot,M,ALFACALCIDOL,0.04mg/kg,5.0d,15.857327,0.79548424,271908317,orange,AGONIST
dot,M,AMANTADINE,220.0mg/kg,1.0d,12.817533,1.7845596,270965699,green,ANTAGONIST
dot,M,AMANTADINE,220.0mg/kg,1.0d,12.817533,1.7845596,270965699,pink,INHIBITOR
