type,mode,chemical,dose,duration,col0,col1,smi_id,color,action_type
dot,M,ROFECOXIB,1550.0mg/kg,3.0d,14.799826,2.603794,271908788,pink,INHIBITOR
dot,M,IMATINIB,15.0mg/kg,5.0d,13.678873,5.4506183,271910732,pink,INHIBITOR
dot,M,IMATINIB,15.0mg/kg,5.0d,13.678873,5.4506183,271910732,pink,INHIBITOR
dot,M,IMATINIB,15.0mg/kg,5.0d,13.678873,5.4506183,271910732,pink,INHIBITOR
dot,M,IMATINIB,15.0mg/kg,5.0d,13.678873,5.4506183,271910732,pink,INHIBITOR
dot,M,RALOXIFENE,650.0mg/kg,1.0d,16.291784,1.3322172,271908781,gray,MODULATOR
dot,M,PRALIDOXIME CHLORIDE,48.0mg/kg,3.0d,14.117155,5.5445085,271908758,red,ACTIVATOR
dot,M,NORETHINDRONE,75.0mg/kg,5.0d,5.845896,3.0175567,270965768,orange,AGONIST
dot,M,CYCLOSPORIN A,350.0mg/kg,0.25d,8.720662,-1.6562055,271150858,gray,MODULATOR
dot,M,CITALOPRAM,40.0mg/kg,0.25d,9.140884,-1.204488,271763385,pink,INHIBITOR
dot,M,DEXAMETHASONE,1.0mg/kg,0.25d,7.6919894,-0.5747326,270949613,orange,AGONIST
dot,M,SULCONAZOLE,1200.0mg/kg,1.0d,13.394506,5.18602,271912128,pink,INHIBITOR
dot,M,LEFLUNOMIDE,60.0mg/kg,0.25d,8.493382,-1.137167,271908618,pink,INHIBITOR
dot,M,BEZAFIBRATE,100.0mg/kg,0.25d,6.08215,-0.91121936,271910254,orange,AGONIST
dot,M,FLUPHENAZINE,22.0mg/kg,0.25d,8.70027,-1.5962739,271908555,green,ANTAGONIST
dot,M,AZATHIOPRINE,54.0mg/kg,3.0d,11.629286,1.7870784,271907146,pink,INHIBITOR
dot,M,AZATHIOPRINE,54.0mg/kg,3.0d,11.629286,1.7870784,271907146,pink,INHIBITOR
dot,M,DICLOFENAC,3.5mg/kg,1.0d,15.829999,4.656597,271532305,pink,INHIBITOR
