type,mode,chemical,dose,duration,col0,col1,smi_id,color,action_type
dot,M,FAMOTIDINE,1200.0mg/kg,3.0d,7.6739764,4.4042788,271908541,green,ANTAGONIST
dot,M,BEZAFIBRATE,617.0mg/kg,3.0d,2.7482793,6.0662017,271910254,orange,AGONIST
dot,M,DICYCLOMINE,645.0mg/kg,5.0d,2.6141443,4.20179,271908482,green,ANTAGONIST
dot,M,DICYCLOMINE,645.0mg/kg,5.0d,2.6141443,4.20179,271908482,green,ANTAGONIST
dot,M,FENOFIBRATE,430.0mg/kg,3.0d,7.3447843,4.7408333,271439486,orange,AGONIST
dot,M,FENOFIBRATE,430.0mg/kg,5.0d,2.6954987,6.377801,271439486,orange,AGONIST
dot,M,GUANETHIDINE,132.0mg/kg,3.0d,2.6801455,10.429085,270961830,cornflowerblue,SUBSTRATE
dot,M,CLOFIBRATE,500.0mg/kg,3.0d,3.1395483,5.54703,271907252,orange,AGONIST
dot,M,LOVASTATIN,1500.0mg/kg,5.0d,2.805202,4.286654,271171417,pink,INHIBITOR
dot,M,ROSIGLITAZONE,1800.0mg/kg,3.0d,2.8213296,4.104235,271910733,orange,AGONIST
dot,M,ATORVASTATIN,300.0mg/kg,3.0d,7.6467447,4.640377,270965685,pink,INHIBITOR
dot,M,ATENOLOL,1000.0mg/kg,3.0d,2.3783386,10.465269,270965687,green,ANTAGONIST
dot,M,PAROXETINE,104.0mg/kg,3.0d,6.332746,4.3441505,271429212,pink,INHIBITOR
dot,M,CHLORPROPAMIDE,269.0mg/kg,3.0d,2.234386,10.35646,271907246,blue,BLOCKER
dot,M,BUSPIRONE,196.0mg/kg,5.0d,3.118264,6.341561,271908384,khaki,PARTIAL AGONIST
dot,M,FENOFIBRATE,215.0mg/kg,3.0d,6.36978,4.6246815,271439486,orange,AGONIST
dot,M,ATORVASTATIN,300.0mg/kg,5.0d,4.481824,8.097256,270965685,pink,INHIBITOR
dot,M,BEZAFIBRATE,617.0mg/kg,7.0d,3.731033,6.3830657,271910254,orange,AGONIST
dot,M,OXYBUTYNIN,230.0mg/kg,3.0d,6.2019444,4.25338,270965748,green,ANTAGONIST
dot,M,OXYBUTYNIN,230.0mg/kg,3.0d,6.2019444,4.25338,270965748,green,ANTAGONIST
dot,M,TRIMETHADIONE,535.0mg/kg,5.0d,2.7289677,10.40815,271907733,blue,BLOCKER
dot,M,SPIRONOLACTONE,300.0mg/kg,5.0d,6.407101,4.445422,271910487,green,ANTAGONIST
dot,M,CERIVASTATIN,7.0mg/kg,3.0d,3.6530235,4.784764,271908418,pink,INHIBITOR
dot,M,SIMVASTATIN,1200.0mg/kg,3.0d,2.8238218,3.9826334,270965883,pink,INHIBITOR
dot,M,BUSPIRONE,196.0mg/kg,3.0d,4.5697145,5.9881153,271908384,khaki,PARTIAL AGONIST
dot,M,PRAVASTATIN,1200.0mg/kg,3.0d,3.8513954,4.841119,270965682,pink,INHIBITOR
dot,M,FAMOTIDINE,1200.0mg/kg,5.0d,7.6780624,4.435931,271908541,green,ANTAGONIST
dot,M,SULPIRIDE,1000.0mg/kg,5.0d,6.8848834,6.9897876,271912017,green,ANTAGONIST
dot,M,SULPIRIDE,1000.0mg/kg,5.0d,6.8848834,6.9897876,271912017,orange,AGONIST
dot,M,FLUVASTATIN,94.0mg/kg,5.0d,2.7736661,4.073246,271907397,pink,INHIBITOR
dot,M,GUANETHIDINE,132.0mg/kg,5.0d,2.7774808,10.456676,270961830,cornflowerblue,SUBSTRATE
dot,M,LOVASTATIN,1500.0mg/kg,3.0d,3.073662,6.4387283,271171417,pink,INHIBITOR
dot,M,FLUVASTATIN,94.0mg/kg,3.0d,5.7132936,4.6649494,271907397,pink,INHIBITOR
dot,M,CERIVASTATIN,7.0mg/kg,5.0d,2.7069654,3.941395,271908418,pink,INHIBITOR
dot,M,SULPIRIDE,1000.0mg/kg,3.0d,5.8511033,5.0654144,271912017,green,ANTAGONIST
dot,M,SULPIRIDE,1000.0mg/kg,3.0d,5.8511033,5.0654144,271912017,orange,AGONIST
dot,M,TRIMETHADIONE,535.0mg/kg,3.0d,2.674651,10.285652,271907733,blue,BLOCKER
dot,M,DICYCLOMINE,645.0mg/kg,3.0d,2.2462466,9.870997,271908482,green,ANTAGONIST
dot,M,DICYCLOMINE,645.0mg/kg,3.0d,2.2462466,9.870997,271908482,green,ANTAGONIST
dot,M,GABAPENTIN,2500.0mg/kg,3.0d,5.9814525,4.5792165,271177068,gray,MODULATOR
dot,M,CLOFIBRATE,500.0mg/kg,7.0d,5.0808854,9.109647,271907252,orange,AGONIST
dot,M,PAROXETINE,104.0mg/kg,5.0d,6.099648,7.8663516,271429212,pink,INHIBITOR
dot,M,CHLORPROPAMIDE,269.0mg/kg,5.0d,2.217922,10.31582,271907246,blue,BLOCKER
dot,M,ATENOLOL,1000.0mg/kg,5.0d,2.165442,10.033052,270965687,green,ANTAGONIST
dot,M,GABAPENTIN,2500.0mg/kg,5.0d,6.7348056,8.146204,271177068,gray,MODULATOR
dot,M,PRAVASTATIN,1200.0mg/kg,5.0d,3.6006258,4.8790526,270965682,pink,INHIBITOR
dot,M,SPIRONOLACTONE,300.0mg/kg,3.0d,6.0997763,4.2126617,271910487,green,ANTAGONIST
dot,M,FENOFIBRATE,215.0mg/kg,5.0d,6.3927574,4.497826,271439486,orange,AGONIST
dot,M,ROSIGLITAZONE,1800.0mg/kg,5.0d,2.8069723,4.1234336,271910733,orange,AGONIST
dot,M,OXYBUTYNIN,230.0mg/kg,5.0d,3.0597613,6.2902617,270965748,green,ANTAGONIST
dot,M,OXYBUTYNIN,230.0mg/kg,5.0d,3.0597613,6.2902617,270965748,green,ANTAGONIST
triangle,P,FAMCICLOVIR,112.0mg/kg,5.0d,3.997078,8.273469,271908540,pink,INHIBITOR
triangle,P,VALPROIC ACID,1500.0mg/kg,5.0d,6.121957,8.25062,271048078,pink,INHIBITOR
triangle,P,OLANZAPINE,23.0mg/kg,5.0d,3.1791406,6.6145244,271908711,green,ANTAGONIST
triangle,P,OLANZAPINE,23.0mg/kg,5.0d,3.1791406,6.6145244,271908711,green,ANTAGONIST
triangle,P,OLANZAPINE,23.0mg/kg,5.0d,3.1791406,6.6145244,271908711,green,ANTAGONIST
triangle,P,SULFAPHENAZOLE,1695.0mg/kg,5.0d,2.9735808,10.236442,271912129,pink,INHIBITOR
triangle,P,MIFEPRISTONE,300.0mg/kg,5.0d,6.045543,5.0851703,271908674,green,ANTAGONIST
triangle,P,MIFEPRISTONE,300.0mg/kg,5.0d,6.045543,5.0851703,271908674,green,ANTAGONIST
triangle,P,AZITHROMYCIN,50.0mg/kg,3.0d,6.897637,7.505557,270965676,pink,INHIBITOR
triangle,P,THEOPHYLLINE,225.0mg/kg,3.0d,7.0132546,6.595771,271073518,green,ANTAGONIST
triangle,P,THEOPHYLLINE,225.0mg/kg,3.0d,7.0132546,6.595771,271073518,pink,INHIBITOR
triangle,P,THEOPHYLLINE,225.0mg/kg,3.0d,7.0132546,6.595771,271073518,pink,INHIBITOR
triangle,P,CYPROHEPTADINE,37.0mg/kg,5.0d,3.9296494,8.97262,271908464,green,ANTAGONIST
triangle,P,CADMIUM ACETATE,167.0mg/kg,3.0d,4.2144775,5.281129,270952596,lightgray,SEQUESTERING AGENT
