type,mode,chemical,dose,duration,col0,col1,smi_id,color,action_type
dot,M,ATENOLOL,1000.0mg/kg,3.0d,13.857204,4.8094373,270965687,green,ANTAGONIST
dot,M,ATENOLOL,1000.0mg/kg,5.0d,13.624966,4.4682055,270965687,green,ANTAGONIST
dot,M,BUSPIRONE,196.0mg/kg,3.0d,13.885805,6.3837757,271908384,khaki,PARTIAL AGONIST
dot,M,BUSPIRONE,196.0mg/kg,5.0d,13.6185255,6.401625,271908384,khaki,PARTIAL AGONIST
dot,M,CHLORPROPAMIDE,269.0mg/kg,3.0d,13.281522,4.2941904,271907246,blue,BLOCKER
dot,M,CHLORPROPAMIDE,269.0mg/kg,5.0d,13.402415,4.209255,271907246,blue,BLOCKER
dot,M,DICYCLOMINE,645.0mg/kg,3.0d,9.237945,7.562586,271908482,green,ANTAGONIST
dot,M,DICYCLOMINE,645.0mg/kg,3.0d,9.237945,7.562586,271908482,green,ANTAGONIST
dot,M,DICYCLOMINE,645.0mg/kg,5.0d,9.595548,7.860253,271908482,green,ANTAGONIST
dot,M,DICYCLOMINE,645.0mg/kg,5.0d,9.595548,7.860253,271908482,green,ANTAGONIST
dot,M,FAMOTIDINE,1200.0mg/kg,3.0d,11.477511,3.8202033,271908541,green,ANTAGONIST
dot,M,FAMOTIDINE,1200.0mg/kg,5.0d,11.486967,3.7872648,271908541,green,ANTAGONIST
dot,M,GABAPENTIN,2500.0mg/kg,3.0d,11.139684,9.319775,271177068,gray,MODULATOR
dot,M,GABAPENTIN,2500.0mg/kg,5.0d,12.057746,7.4243865,271177068,gray,MODULATOR
dot,M,GUANETHIDINE,132.0mg/kg,3.0d,13.406829,4.2111945,270961830,cornflowerblue,SUBSTRATE
dot,M,GUANETHIDINE,132.0mg/kg,5.0d,13.304576,4.1733227,270961830,cornflowerblue,SUBSTRATE
dot,M,OXYBUTYNIN,230.0mg/kg,3.0d,11.27071,8.597476,270965748,green,ANTAGONIST
dot,M,OXYBUTYNIN,230.0mg/kg,3.0d,11.27071,8.597476,270965748,green,ANTAGONIST
dot,M,OXYBUTYNIN,230.0mg/kg,5.0d,11.33433,8.612012,270965748,green,ANTAGONIST
dot,M,OXYBUTYNIN,230.0mg/kg,5.0d,11.33433,8.612012,270965748,green,ANTAGONIST
dot,M,PAROXETINE,104.0mg/kg,3.0d,11.283969,6.5838175,271429212,pink,INHIBITOR
dot,M,PAROXETINE,104.0mg/kg,5.0d,11.154368,8.191206,271429212,pink,INHIBITOR
dot,M,SPIRONOLACTONE,300.0mg/kg,3.0d,12.562551,8.049966,271910487,green,ANTAGONIST
dot,M,SPIRONOLACTONE,300.0mg/kg,5.0d,13.128787,9.014195,271910487,green,ANTAGONIST
dot,M,SULPIRIDE,1000.0mg/kg,3.0d,10.411984,9.899216,271912017,green,ANTAGONIST
dot,M,SULPIRIDE,1000.0mg/kg,3.0d,10.411984,9.899216,271912017,orange,AGONIST
dot,M,SULPIRIDE,1000.0mg/kg,5.0d,10.4855385,9.9222355,271912017,green,ANTAGONIST
dot,M,SULPIRIDE,1000.0mg/kg,5.0d,10.4855385,9.9222355,271912017,orange,AGONIST
dot,M,TRIMETHADIONE,535.0mg/kg,3.0d,9.261446,5.523387,271907733,blue,BLOCKER
