type,mode,chemical,dose,duration,col0,col1,smi_id,color,action_type
dot,M,IFOSFAMIDE,17.0mg/kg,3.0d,11.72496,-3.362942,270965755,pink,INHIBITOR
dot,M,AZTREONAM,1100.0mg/kg,3.0d,12.621434,1.1163517,271150272,pink,INHIBITOR
dot,M,MEROPENEM,1500.0mg/kg,3.0d,13.1051655,-1.7661793,271820612,pink,INHIBITOR
dot,M,AZTREONAM,1100.0mg/kg,5.0d,12.807728,0.8283834,271150272,pink,INHIBITOR
dot,M,TAZOBACTAM,1500.0mg/kg,5.0d,12.565345,1.1520572,271637495,pink,INHIBITOR
dot,M,MELPHALAN,12.0mg/kg,3.0d,12.249219,1.117464,271907461,pink,INHIBITOR
dot,M,IFOSFAMIDE,17.0mg/kg,1.0d,12.901438,0.7593857,270965755,pink,INHIBITOR
dot,M,MEROPENEM,1500.0mg/kg,5.0d,12.562106,1.0618724,271820612,pink,INHIBITOR
dot,M,MELPHALAN,12.0mg/kg,5.0d,11.858827,-3.3241825,271907461,pink,INHIBITOR
dot,M,IMATINIB,150.0mg/kg,5.0d,7.509815,-4.3475003,271910732,pink,INHIBITOR
dot,M,IMATINIB,150.0mg/kg,5.0d,7.509815,-4.3475003,271910732,pink,INHIBITOR
dot,M,IMATINIB,150.0mg/kg,5.0d,7.509815,-4.3475003,271910732,pink,INHIBITOR
dot,M,IMATINIB,150.0mg/kg,5.0d,7.509815,-4.3475003,271910732,pink,INHIBITOR
dot,M,IFOSFAMIDE,143.0mg/kg,1.0d,8.116046,-3.8435984,270965755,pink,INHIBITOR
dot,M,MELPHALAN,12.0mg/kg,1.0d,12.728369,0.9603637,271907461,pink,INHIBITOR
dot,M,TAZOBACTAM,1500.0mg/kg,3.0d,13.061232,0.6993765,271637495,pink,INHIBITOR
dot,M,IMATINIB,150.0mg/kg,3.0d,7.1919246,-2.4390662,271910732,pink,INHIBITOR
dot,M,IMATINIB,150.0mg/kg,3.0d,7.1919246,-2.4390662,271910732,pink,INHIBITOR
dot,M,IMATINIB,150.0mg/kg,3.0d,7.1919246,-2.4390662,271910732,pink,INHIBITOR
dot,M,IMATINIB,150.0mg/kg,3.0d,7.1919246,-2.4390662,271910732,pink,INHIBITOR
dot,M,IMATINIB,150.0mg/kg,1.0d,13.043896,0.8277737,271910732,pink,INHIBITOR
dot,M,IMATINIB,150.0mg/kg,1.0d,13.043896,0.8277737,271910732,pink,INHIBITOR
dot,M,IMATINIB,150.0mg/kg,1.0d,13.043896,0.8277737,271910732,pink,INHIBITOR
dot,M,IMATINIB,150.0mg/kg,1.0d,13.043896,0.8277737,271910732,pink,INHIBITOR
triangle,P,SULFADIMETHOXINE,1100.0mg/kg,1.0d,11.382088,0.6438472,271908799,pink,INHIBITOR
triangle,P,OLANZAPINE,23.0mg/kg,5.0d,7.3561525,-2.8581681,271908711,green,ANTAGONIST
triangle,P,OLANZAPINE,23.0mg/kg,5.0d,7.3561525,-2.8581681,271908711,green,ANTAGONIST
triangle,P,OLANZAPINE,23.0mg/kg,5.0d,7.3561525,-2.8581681,271908711,green,ANTAGONIST
triangle,P,FENOFIBRATE,215.0mg/kg,0.25d,11.931317,-1.5341628,271439486,orange,AGONIST
triangle,P,AMINOGLUTETHIMIDE,350.0mg/kg,0.25d,12.285839,-0.4792358,271813609,pink,INHIBITOR
triangle,P,AMINOGLUTETHIMIDE,350.0mg/kg,0.25d,12.285839,-0.4792358,271813609,pink,INHIBITOR
triangle,P,TROVAFLOXACIN,600.0mg/kg,1.0d,10.881,-4.332426,271911226,pink,INHIBITOR
triangle,P,TROVAFLOXACIN,600.0mg/kg,1.0d,10.881,-4.332426,271911226,pink,INHIBITOR
triangle,P,SPIRONOLACTONE,300.0mg/kg,1.0d,12.237391,-1.4230264,271910487,green,ANTAGONIST
triangle,P,FUROSEMIDE,375.0mg/kg,1.0d,8.887595,0.3190321,271907403,pink,INHIBITOR
triangle,P,FLUVASTATIN,5.0mg/kg,1.0d,9.060759,-2.3282654,271907397,pink,INHIBITOR
triangle,P,MELOXICAM,0.6mg/kg,1.0d,10.693662,-0.6623344,271907460,pink,INHIBITOR
triangle,P,AZITHROMYCIN,50.0mg/kg,1.0d,13.012834,-1.238126,270965676,pink,INHIBITOR
triangle,P,METOPROLOL,120.0mg/kg,1.0d,7.26885,-3.155988,270965703,green,ANTAGONIST
triangle,P,ACETAZOLAMIDE,47.0mg/kg,0.25d,10.7807,-2.7816043,271048837,pink,INHIBITOR
triangle,P,ACETAZOLAMIDE,47.0mg/kg,0.25d,10.7807,-2.7816043,271048837,pink,INHIBITOR
triangle,P,ACETAZOLAMIDE,47.0mg/kg,0.25d,10.7807,-2.7816043,271048837,pink,INHIBITOR
triangle,P,ACETAZOLAMIDE,47.0mg/kg,0.25d,10.7807,-2.7816043,271048837,pink,INHIBITOR
triangle,P,MICONAZOLE,920.0mg/kg,1.0d,11.882578,0.42632675,271908671,pink,INHIBITOR
triangle,P,KETOCONAZOLE,227.0mg/kg,1.0d,12.832073,-1.7338804,271763056,pink,INHIBITOR
triangle,P,CIPROFLOXACIN,72.0mg/kg,1.0d,11.756457,-1.0327945,270995020,pink,INHIBITOR
triangle,P,CIPROFLOXACIN,72.0mg/kg,1.0d,11.756457,-1.0327945,270995020,pink,INHIBITOR
