type,mode,chemical,dose,duration,col0,col1,smi_id,color,action_type
dot,M,AZATHIOPRINE,20.0mg/kg,0.25d,12.190143,4.4965153,271907146,magenta,INHIBITOR
dot,M,AZATHIOPRINE,20.0mg/kg,0.25d,12.190143,4.4965153,271907146,magenta,INHIBITOR
dot,M,AZATHIOPRINE,20.0mg/kg,1.0d,17.98225,6.6281505,271907146,magenta,INHIBITOR
dot,M,AZATHIOPRINE,20.0mg/kg,1.0d,17.98225,6.6281505,271907146,magenta,INHIBITOR
dot,M,AZATHIOPRINE,20.0mg/kg,3.0d,17.039322,6.017526,271907146,magenta,INHIBITOR
dot,M,AZATHIOPRINE,20.0mg/kg,3.0d,17.039322,6.017526,271907146,magenta,INHIBITOR
dot,M,AZTREONAM,1100.0mg/kg,3.0d,14.352207,10.535225,271150272,magenta,INHIBITOR
dot,M,AZTREONAM,1100.0mg/kg,5.0d,14.323174,10.578518,271150272,magenta,INHIBITOR
dot,M,BITHIONOL,333.0mg/kg,5.0d,13.89458,6.289836,271907709,black,NULL
dot,M,BUSULFAN,9.0mg/kg,1.0d,10.790759,6.345804,271907517,magenta,INHIBITOR
dot,M,BUSULFAN,9.0mg/kg,3.0d,15.210994,6.9522014,271907517,magenta,INHIBITOR
dot,M,BUSULFAN,9.0mg/kg,5.0d,16.631954,5.88099,271907517,magenta,INHIBITOR
dot,M,CHLORAMBUCIL,0.6mg/kg,0.25d,17.745142,6.661924,270986834,magenta,INHIBITOR
dot,M,CHLORAMBUCIL,0.6mg/kg,1.0d,17.992495,6.6631083,270986834,magenta,INHIBITOR
dot,M,CHLORAMBUCIL,0.6mg/kg,3.0d,17.994753,6.6388235,270986834,magenta,INHIBITOR
dot,M,CHLORAMBUCIL,4.5mg/kg,1.0d,17.719238,6.702868,270986834,magenta,INHIBITOR
dot,M,CHLORAMBUCIL,4.5mg/kg,3.0d,12.099244,4.091884,270986834,magenta,INHIBITOR
dot,M,CHLORAMBUCIL,4.5mg/kg,5.0d,17.01319,5.935294,270986834,magenta,INHIBITOR
dot,M,CYCLOSPORIN A,350.0mg/kg,1.0d,10.563172,7.5991898,271150858,cyan,MODULATOR
dot,M,CYCLOSPORIN A,350.0mg/kg,3.0d,15.548757,6.4043083,271150858,cyan,MODULATOR
dot,M,CYCLOSPORIN A,350.0mg/kg,5.0d,15.723975,6.0043373,271150858,cyan,MODULATOR
