type,mode,chemical,dose,duration,col0,col1,smi_id,color,action_type
dot,M,IFOSFAMIDE,17.0mg/kg,3.0d,9.36471,-1.5416603,270965755,pink,INHIBITOR
dot,M,AZTREONAM,1100.0mg/kg,3.0d,6.960071,2.4200351,271150272,pink,INHIBITOR
dot,M,MEROPENEM,1500.0mg/kg,3.0d,9.297055,0.83977646,271820612,pink,INHIBITOR
dot,M,AZTREONAM,1100.0mg/kg,5.0d,7.025384,2.3914723,271150272,pink,INHIBITOR
dot,M,TAZOBACTAM,1500.0mg/kg,5.0d,6.845319,2.4150841,271637495,pink,INHIBITOR
dot,M,MELPHALAN,12.0mg/kg,3.0d,7.3267713,2.0540254,271907461,pink,INHIBITOR
dot,M,IFOSFAMIDE,17.0mg/kg,1.0d,7.2863765,2.238074,270965755,pink,INHIBITOR
dot,M,MEROPENEM,1500.0mg/kg,5.0d,6.9349327,2.3556497,271820612,pink,INHIBITOR
dot,M,MELPHALAN,12.0mg/kg,5.0d,9.415167,-1.4254383,271907461,pink,INHIBITOR
dot,M,IMATINIB,150.0mg/kg,5.0d,7.4806647,-5.1988497,271910732,pink,INHIBITOR
dot,M,IMATINIB,150.0mg/kg,5.0d,7.4806647,-5.1988497,271910732,pink,INHIBITOR
dot,M,IMATINIB,150.0mg/kg,5.0d,7.4806647,-5.1988497,271910732,pink,INHIBITOR
dot,M,IMATINIB,150.0mg/kg,5.0d,7.4806647,-5.1988497,271910732,pink,INHIBITOR
dot,M,IFOSFAMIDE,143.0mg/kg,1.0d,6.9398193,-4.6985993,270965755,pink,INHIBITOR
dot,M,MELPHALAN,12.0mg/kg,1.0d,7.00533,2.290806,271907461,pink,INHIBITOR
dot,M,TAZOBACTAM,1500.0mg/kg,3.0d,7.588825,2.32795,271637495,pink,INHIBITOR
dot,M,IMATINIB,150.0mg/kg,3.0d,5.8758183,-3.6336982,271910732,pink,INHIBITOR
dot,M,IMATINIB,150.0mg/kg,3.0d,5.8758183,-3.6336982,271910732,pink,INHIBITOR
dot,M,IMATINIB,150.0mg/kg,3.0d,5.8758183,-3.6336982,271910732,pink,INHIBITOR
dot,M,IMATINIB,150.0mg/kg,3.0d,5.8758183,-3.6336982,271910732,pink,INHIBITOR
dot,M,IMATINIB,150.0mg/kg,1.0d,7.4534016,2.2893836,271910732,pink,INHIBITOR
dot,M,IMATINIB,150.0mg/kg,1.0d,7.4534016,2.2893836,271910732,pink,INHIBITOR
dot,M,IMATINIB,150.0mg/kg,1.0d,7.4534016,2.2893836,271910732,pink,INHIBITOR
dot,M,IMATINIB,150.0mg/kg,1.0d,7.4534016,2.2893836,271910732,pink,INHIBITOR
triangle,P,SULFADIMETHOXINE,1100.0mg/kg,1.0d,6.0595784,0.90136856,271908799,pink,INHIBITOR
triangle,P,OLANZAPINE,23.0mg/kg,5.0d,6.2821536,-4.004103,271908711,green,ANTAGONIST
triangle,P,OLANZAPINE,23.0mg/kg,5.0d,6.2821536,-4.004103,271908711,green,ANTAGONIST
triangle,P,OLANZAPINE,23.0mg/kg,5.0d,6.2821536,-4.004103,271908711,green,ANTAGONIST
triangle,P,FENOFIBRATE,215.0mg/kg,0.25d,8.531091,-0.07049269,271439486,orange,AGONIST
triangle,P,AMINOGLUTETHIMIDE,350.0mg/kg,0.25d,7.7660027,0.87693995,271813609,pink,INHIBITOR
triangle,P,AMINOGLUTETHIMIDE,350.0mg/kg,0.25d,7.7660027,0.87693995,271813609,pink,INHIBITOR
triangle,P,TROVAFLOXACIN,600.0mg/kg,1.0d,9.947972,-2.3192425,271911226,pink,INHIBITOR
triangle,P,TROVAFLOXACIN,600.0mg/kg,1.0d,9.947972,-2.3192425,271911226,pink,INHIBITOR
triangle,P,SPIRONOLACTONE,300.0mg/kg,1.0d,8.872915,0.1972004,271910487,green,ANTAGONIST
triangle,P,FUROSEMIDE,375.0mg/kg,1.0d,10.989805,-0.5278048,271907403,pink,INHIBITOR
triangle,P,FLUVASTATIN,5.0mg/kg,1.0d,6.9498305,-2.4890723,271907397,pink,INHIBITOR
triangle,P,MELOXICAM,0.6mg/kg,1.0d,7.287744,-0.15441109,271907460,pink,INHIBITOR
triangle,P,AZITHROMYCIN,50.0mg/kg,1.0d,8.644827,1.1192108,270965676,pink,INHIBITOR
triangle,P,METOPROLOL,120.0mg/kg,1.0d,6.7224874,-4.413944,270965703,green,ANTAGONIST
triangle,P,ACETAZOLAMIDE,47.0mg/kg,0.25d,7.3411193,-1.3822117,271048837,pink,INHIBITOR
triangle,P,ACETAZOLAMIDE,47.0mg/kg,0.25d,7.3411193,-1.3822117,271048837,pink,INHIBITOR
triangle,P,ACETAZOLAMIDE,47.0mg/kg,0.25d,7.3411193,-1.3822117,271048837,pink,INHIBITOR
triangle,P,ACETAZOLAMIDE,47.0mg/kg,0.25d,7.3411193,-1.3822117,271048837,pink,INHIBITOR
triangle,P,MICONAZOLE,920.0mg/kg,1.0d,6.7714586,1.353509,271908671,pink,INHIBITOR
triangle,P,KETOCONAZOLE,227.0mg/kg,1.0d,8.851053,0.6622912,271763056,pink,INHIBITOR
triangle,P,CIPROFLOXACIN,72.0mg/kg,1.0d,7.0971723,-0.42747235,270995020,pink,INHIBITOR
triangle,P,CIPROFLOXACIN,72.0mg/kg,1.0d,7.0971723,-0.42747235,270995020,pink,INHIBITOR
triangle,P,NEVIRAPINE,200.0mg/kg,5.0d,6.5023785,-4.878106,271910304,pink,INHIBITOR
triangle,P,PHENACEMIDE,400.0mg/kg,5.0d,6.9767017,-0.74592274,271908732,blue,BLOCKER
triangle,P,AZATHIOPRINE,54.0mg/kg,1.0d,6.80062,-3.910787,271907146,pink,INHIBITOR
triangle,P,AZATHIOPRINE,54.0mg/kg,1.0d,6.80062,-3.910787,271907146,pink,INHIBITOR
triangle,P,CHOLIC ACID,1402.0mg/kg,3.0d,7.45563,0.4057764,271466069,black,NULL
triangle,P,ROSIGLITAZONE,1800.0mg/kg,5.0d,7.3622947,1.4873412,271910733,orange,AGONIST
triangle,P,CYCLOHEXIMIDE,0.25mg/kg,5.0d,9.400018,-3.353081,271909170,pink,INHIBITOR
triangle,P,LEVOFLOXACIN,739.0mg/kg,3.0d,7.7813973,0.7533287,270965760,pink,INHIBITOR
triangle,P,DROPERIDOL,94.0mg/kg,5.0d,9.2606735,-3.6491303,271908505,green,ANTAGONIST
triangle,P,DROPERIDOL,94.0mg/kg,5.0d,9.2606735,-3.6491303,271908505,green,ANTAGONIST
triangle,P,VECURONIUM BROMIDE,0.05mg/kg,3.0d,6.9118223,-4.0309286,271908863,green,ANTAGONIST
triangle,P,TERFENADINE,750.0mg/kg,3.0d,6.9780726,1.5285124,271908820,green,ANTAGONIST
triangle,P,NETILMICIN,40.0mg/kg,5.0d,6.7428603,-0.5638942,271637449,pink,INHIBITOR
triangle,P,ESTRIOL,313.0mg/kg,3.0d,8.072646,-4.7135797,271641087,gray,MODULATOR
triangle,P,IFOSFAMIDE,17.0mg/kg,3.0d,9.304482,-1.448605,270965755,pink,INHIBITOR
triangle,P,ATORVASTATIN,2.5mg/kg,3.0d,8.406326,-0.87854683,270965685,pink,INHIBITOR
triangle,P,ROFECOXIB,1550.0mg/kg,5.0d,8.962158,-0.83514065,271908788,pink,INHIBITOR
triangle,P,ERGOCALCIFEROL,15.0mg/kg,3.0d,7.097709,1.2802489,271465989,orange,AGONIST
triangle,P,ROFECOXIB,1550.0mg/kg,1.0d,7.848608,-1.5759314,271908788,pink,INHIBITOR
triangle,P,AZTREONAM,1100.0mg/kg,5.0d,7.043401,2.3376164,271150272,pink,INHIBITOR
triangle,P,VENLAFAXINE,320.0mg/kg,3.0d,7.441672,-5.061225,271440007,pink,INHIBITOR
triangle,P,VENLAFAXINE,320.0mg/kg,3.0d,7.441672,-5.061225,271440007,pink,INHIBITOR
triangle,P,FLURBIPROFEN,10.0mg/kg,5.0d,8.588078,-3.0697505,271763007,pink,INHIBITOR
triangle,P,FLURBIPROFEN,10.0mg/kg,5.0d,8.588078,-3.0697505,271763007,gray,MODULATOR
triangle,P,RALOXIFENE,650.0mg/kg,3.0d,9.424916,-0.40129992,271908781,gray,MODULATOR
triangle,P,CLOPIDOGREL,400.0mg/kg,0.25d,8.757102,0.46471262,271146295,green,ANTAGONIST
triangle,P,SIBUTRAMINE,10.0mg/kg,3.0d,8.223167,2.3868833,271334220,pink,INHIBITOR
triangle,P,SULFANILAMIDE,636.0mg/kg,1.0d,8.528256,0.32799014,270985206,pink,INHIBITOR
triangle,P,NETILMICIN,41.0mg/kg,3.0d,8.929119,-4.5220957,271637449,pink,INHIBITOR
triangle,P,BROMFENAC,5.0mg/kg,3.0d,9.609103,-0.026614219,271911066,pink,INHIBITOR
triangle,P,NEVIRAPINE,29.0mg/kg,1.0d,8.363227,-0.34702796,271910304,pink,INHIBITOR
triangle,P,CLOMIPHENE,250.0mg/kg,3.0d,6.191666,-3.851754,271180439,gray,MODULATOR
triangle,P,ETHYLENE GLYCOL,352.0mg/kg,3.0d,7.298173,0.9858359,271077373,black,NULL
triangle,P,VALDECOXIB,404.0mg/kg,5.0d,9.279091,-0.10319793,271912153,pink,INHIBITOR
triangle,P,LEVOFLOXACIN,739.0mg/kg,1.0d,7.8805823,0.25068513,270965760,pink,INHIBITOR
triangle,P,FENOFIBRATE,215.0mg/kg,5.0d,5.925394,-3.20362,271439486,orange,AGONIST
triangle,P,SALICYLIC ACID,223.0mg/kg,1.0d,7.659412,-2.983185,271335061,black,NULL
triangle,P,GALLAMINE TRIETHIODIDE,2.5mg/kg,3.0d,7.865011,0.9536765,271908564,green,ANTAGONIST
triangle,P,MELOXICAM,0.6mg/kg,0.25d,8.407956,1.2452817,271907460,pink,INHIBITOR
triangle,P,LABETALOL,60.0mg/kg,3.0d,7.067872,-0.14075302,270965671,green,ANTAGONIST
