type,mode,chemical,dose,duration,col0,col1,smi_id,color,action_type
dot,M,ATORVASTATIN,300.0mg/kg,3.0d,-0.8231775,-2.3559458,270965685,magenta,INHIBITOR
dot,M,ATORVASTATIN,300.0mg/kg,5.0d,2.0977051,-1.361818,270965685,magenta,INHIBITOR
dot,M,BEZAFIBRATE,617.0mg/kg,3.0d,1.0901877,-0.75645036,271910254,blue,AGONIST
dot,M,BEZAFIBRATE,617.0mg/kg,7.0d,2.0779462,-1.4484111,271910254,blue,AGONIST
dot,M,CERIVASTATIN,7.0mg/kg,3.0d,1.8290961,-1.2693307,271908418,magenta,INHIBITOR
dot,M,CERIVASTATIN,7.0mg/kg,5.0d,2.6196768,-1.1970202,271908418,magenta,INHIBITOR
dot,M,CLOFIBRATE,500.0mg/kg,3.0d,0.9769237,-0.71048814,271907252,blue,AGONIST
dot,M,CLOFIBRATE,500.0mg/kg,7.0d,1.9252819,-1.941804,271907252,blue,AGONIST
dot,M,FENOFIBRATE,215.0mg/kg,3.0d,-0.3118107,-2.2472336,271439486,blue,AGONIST
dot,M,FENOFIBRATE,215.0mg/kg,5.0d,-0.31715232,-2.253348,271439486,blue,AGONIST
dot,M,FENOFIBRATE,430.0mg/kg,3.0d,-0.8311109,-2.3947842,271439486,blue,AGONIST
dot,M,FENOFIBRATE,430.0mg/kg,5.0d,0.7946558,-0.7523482,271439486,blue,AGONIST
dot,M,FLUVASTATIN,94.0mg/kg,3.0d,2.0160532,-1.3648304,271907397,magenta,INHIBITOR
dot,M,FLUVASTATIN,94.0mg/kg,5.0d,2.3195884,-1.4365015,271907397,magenta,INHIBITOR
dot,M,LOVASTATIN,1500.0mg/kg,3.0d,1.1230929,-0.8029608,271171417,magenta,INHIBITOR
dot,M,LOVASTATIN,1500.0mg/kg,5.0d,2.272553,-1.4319481,271171417,magenta,INHIBITOR
dot,M,PRAVASTATIN,1200.0mg/kg,3.0d,1.9632708,-1.3705004,270965682,magenta,INHIBITOR
dot,M,PRAVASTATIN,1200.0mg/kg,5.0d,1.8550917,-1.2791059,270965682,magenta,INHIBITOR
dot,M,ROSIGLITAZONE,1800.0mg/kg,3.0d,2.3601546,-1.1438103,271910733,blue,AGONIST
dot,M,ROSIGLITAZONE,1800.0mg/kg,5.0d,3.066357,-0.48092112,271910733,blue,AGONIST
dot,M,SIMVASTATIN,1200.0mg/kg,3.0d,2.474352,-1.3115793,270965883,magenta,INHIBITOR
triangle,P,(R)-BICALUTAMIDE,1400.0mg/kg,1.0d,-1.6740079,2.598271,271150807,orange,ANTAGONIST
