type,mode,chemical,dose,duration,col0,col1,smi_id,color,action_type
dot,M,FAMOTIDINE,1200.0mg/kg,3.0d,-0.82354337,4.4236913,271908541,green,ANTAGONIST
dot,M,BEZAFIBRATE,617.0mg/kg,3.0d,2.9097996,2.6108394,271910254,orange,AGONIST
dot,M,DICYCLOMINE,645.0mg/kg,5.0d,2.926135,4.71048,271908482,green,ANTAGONIST
dot,M,DICYCLOMINE,645.0mg/kg,5.0d,2.926135,4.71048,271908482,green,ANTAGONIST
dot,M,FENOFIBRATE,430.0mg/kg,3.0d,-0.4506754,4.1476803,271439486,orange,AGONIST
dot,M,FENOFIBRATE,430.0mg/kg,5.0d,3.0728974,2.4084823,271439486,orange,AGONIST
dot,M,GUANETHIDINE,132.0mg/kg,3.0d,2.3686106,-2.5029485,270961830,cornflowerblue,SUBSTRATE
dot,M,CLOFIBRATE,500.0mg/kg,3.0d,3.1703334,3.244177,271907252,orange,AGONIST
dot,M,LOVASTATIN,1500.0mg/kg,5.0d,2.6910255,4.4713383,271171417,pink,INHIBITOR
dot,M,ROSIGLITAZONE,1800.0mg/kg,3.0d,2.7767143,4.8504663,271910733,orange,AGONIST
dot,M,ATORVASTATIN,300.0mg/kg,3.0d,-0.82958525,4.4180036,270965685,pink,INHIBITOR
dot,M,ATENOLOL,1000.0mg/kg,3.0d,2.51296,-2.397609,270965687,green,ANTAGONIST
dot,M,PAROXETINE,104.0mg/kg,3.0d,0.053671233,4.758806,271429212,pink,INHIBITOR
dot,M,CHLORPROPAMIDE,269.0mg/kg,3.0d,2.9220486,-2.1855652,271907246,blue,BLOCKER
dot,M,BUSPIRONE,196.0mg/kg,5.0d,3.0086534,1.9614506,271908384,khaki,PARTIAL AGONIST
dot,M,FENOFIBRATE,215.0mg/kg,3.0d,0.3701082,4.6699266,271439486,orange,AGONIST
dot,M,ATORVASTATIN,300.0mg/kg,5.0d,2.951405,2.959411,270965685,pink,INHIBITOR
dot,M,BEZAFIBRATE,617.0mg/kg,7.0d,3.242866,3.2075367,271910254,orange,AGONIST
dot,M,OXYBUTYNIN,230.0mg/kg,3.0d,0.20831826,4.9461026,270965748,green,ANTAGONIST
dot,M,OXYBUTYNIN,230.0mg/kg,3.0d,0.20831826,4.9461026,270965748,green,ANTAGONIST
dot,M,TRIMETHADIONE,535.0mg/kg,5.0d,2.0794356,-2.4893026,271907733,blue,BLOCKER
dot,M,SPIRONOLACTONE,300.0mg/kg,5.0d,0.28571492,4.558854,271910487,green,ANTAGONIST
dot,M,CERIVASTATIN,7.0mg/kg,3.0d,2.6683717,3.7203877,271908418,pink,INHIBITOR
dot,M,SIMVASTATIN,1200.0mg/kg,3.0d,2.6469398,5.029111,270965883,pink,INHIBITOR
dot,M,BUSPIRONE,196.0mg/kg,3.0d,3.0093412,2.7016292,271908384,khaki,PARTIAL AGONIST
